Run Fondo;Nombre Fondo;FFM_6020100;FFM_6020200;FFM_6020300;FFM_6020400;FFM_6020500;FFM_6020600;FFM_6020700;FFM_6020800;FFM_6020900;FFM_6021000;FFM_tir_6021111;FFM_par_6021111;FFM_rel_6021111;FFM_6021112;FFM_6021113;FFM_6021114;FFM_6021200;FFM_6021300;FFM_6021400;FFM_6021511;FFM_6021512;FFM_6021513
8032;TARGET;IAJI;ISHARES MSCI ALL COUNTRY ASIA;US;ETFA;;1;NA;NA;8482;PROM;;;46203.97;3;0;NA;391902;PROM;US;0;0;.815
8032;TARGET;EEM;ISHARES MSCI EMERGING MARKETS;US;ETFA;;1;NA;GRUPO 99;17695;PROM;;;28567.67;3;0;NA;505505;PROM;US;0;0;1.051
8032;TARGET;EUFN;ISHARES MSCI EUROPE FINANCIA;US;ETFA;;1;NA;NA;26147;PROM;;;15144.78;3;0;NA;395991;PROM;US;0;0;.824
8032;TARGET;EWG;ISHARE MSCI GERMANY ETF;US;ETFA;;1;NA;GRUPO 99;35887;PROM;;;20029.98;3;0;NA;718816;PROM;US;0;.423;1.495
8032;TARGET;EWJ;ISHARE MSCI JAPAN ETF;US;ETFA;;1;NA;GRUPO 99;24574;PROM;;;35716.11;3;0;NA;877688;PROM;US;0;.585;1.826
8032;TARGET;EWP;ISHARE MSCI SPAIN CAPPED ETF;US;ETFA;;1;NA;GRUPO 99;13271;PROM;;;22260.61;3;0;NA;295421;PROM;US;0;0;.614
8032;TARGET;EWQ;ISHARES MSCI FRANCE ETF;US;ETFA;;1;NA;GRUPO 99;26565;PROM;;;19201.65;3;0;NA;510092;PROM;US;0;.34;1.061
8032;TARGET;EWZ;ISHARE MSCI BRAZIL CAPPED ETF;US;ETFA;;1;NA;NA;3375;PROM;;;24654.29;3;0;NA;83208;PROM;US;0;0;.173
8032;TARGET;EZU;ISHARES MSCI EUROZONE ETF;US;ETFA;;1;NA;NA;24798;PROM;;;27152.33;3;0;NA;673323;PROM;US;0;0;1.401
8032;TARGET;GDX;VANECK VECTORS GOLD MINERS ETF;US;ETFA;;1;NA;NA;63236;PROM;;;14909.98;3;0;NA;942847;PROM;US;0;0;1.961
8032;TARGET;GMF;SPDR S&P EMERGING ASIA PACIF;US;ETFA;;1;NA;GRUPO 99;4118;PROM;;;63077.16;3;0;NA;259752;PROM;US;0;0;.54
8032;TARGET;ISHU;ISHARES USD TREASURY 7 - 10Y;IE;ETFB;;1;NA;NA;7917;PROM;;;128645.85;3;0;NA;1018489;PROM;IE;0;0;2.118
8032;TARGET;ILF;ISHARES LATAM AMERICA 40 ETF;US;ETFA;;1;NA;GRUPO 99;1516;PROM;;;21510.55;3;0;NA;32610;PROM;US;0;0;.068
8032;TARGET;ISCB;ISHARES $ CORP BOND UCITS ETF;IE;ETFB;;1;NA;NA;9564;PROM;;;75971.75;3;0;NA;726594;PROM;IE;0;0;1.511
8032;TARGET;RSX;VANECK VECTOR RUSSIA ETF;US;ETFA;;1;NA;GRUPO 99;46499;PROM;;;13051.12;3;0;NA;606864;PROM;US;0;.405;1.262
8032;TARGET;SPY;SPDR TRUST SERIES I;US;ETFA;;1;NA;NA;4050;PROM;;;160950.8;3;0;NA;651851;PROM;US;0;0;1.356
8032;TARGET;VGK;VANGUARD FTSE EUROPE ETF;US;ETFA;;1;NA;GRUPO 99;22196;PROM;;;36981.44;3;0;NA;820840;PROM;US;0;0;1.707
8032;TARGET;FORERIC LX;PARVEST EQUITY RUSSIA;LU;CFME;;1;NA;NA;3509.04;PROM;;;93272.64;3;0;NA;327297;PROM;LU;0;0;.681
8032;TARGET;GAMSCOU ID;GAM STAR CREDIT OPPORTUNITIES;GB;CFME;;1;NA;NA;99540.36;PROM;;;10708.83;3;0;NA;1065961;PROM;GB;0;0;2.217
8032;TARGET;INLACIA LX;INVESTEC LATIN AMERICA CORP;LU;CFME;;1;NA;NA;15374.08;PROM;;;18366.8;3;0;NA;282373;PROM;LU;0;0;.587
8032;TARGET;JBLEMBC LX;JULIUS BAER MULTIBOND;LU;CFME;;1;NA;NA;1897.02;PROM;;;216103.6;3;0;NA;409953;PROM;LU;0;0;.853
8032;TARGET;JPECCAU LX;JP MORGAN FUNDS-EME MKTS;LU;CFME;;1;NA;NA;6493.59;PROM;;;97404.03;3;0;NA;632502;PROM;LU;0;0;1.316
8032;TARGET;JPJECAJ LX;JPMORGAN FUNDS - JAPAN EQUITY;LU;CFME;;1;NA;NA;9157.51;YY;;;67049.16;3;0;NA;614003;YY;LU;0;0;1.277
8032;TARGET;MERDUD2 LX;BLACKROCK GLOBAL FUNDS - ASIAN;LU;CFME;;1;NA;NA;49556.93;ECU;;;29017.71;3;0;NA;1438029;ECU;LU;0;0;2.991
8032;TARGET;PBIINEY ID;PINEBRIDGE GLOBAL FUNDS PB IN;IN;CFME;;1;NA;NA;427.72;PROM;;;310704.66;3;0;NA;132895;PROM;IN;0;0;.276
8032;TARGET;SCHECAC LX;SCHRODER ASIAN FUND;LU;CFME;;1;NA;GRUPO 90 HOHNECK;22331.53;PROM;;;26210.58;3;0;NA;585322;PROM;LU;0;.601;1.217
8032;TARGET;SCHPFCA LX;Schroders Asian Opportunities;LU;CFME;;1;NA;NA;49291.61;PROM;;;14663.57;3;0;NA;722791;PROM;LU;0;0;1.503
