Run Fondo;Nombre Fondo;FFM_6020100;FFM_6020200;FFM_6020300;FFM_6020400;FFM_6020500;FFM_6020600;FFM_6020700;FFM_6020800;FFM_6020900;FFM_6021000;FFM_tir_6021111;FFM_par_6021111;FFM_rel_6021111;FFM_6021112;FFM_6021113;FFM_6021114;FFM_6021200;FFM_6021300;FFM_6021400;FFM_6021511;FFM_6021512;FFM_6021513
8032;TARGET;EUFN;ISHARES MSCI EUROPE FINANCIA;US;ETFA;;1;NA;NA;26147;PROM;;;14724.47;3;0;NA;385001;PROM;US;0;0;.967
8032;TARGET;EWG;ISHARE MSCI GERMANY ETF;US;ETFA;;1;NA;NA;35887;PROM;;;20856.3;3;0;NA;748470;PROM;US;0;.44;1.88
8032;TARGET;IAJI;ISHARES MSCI ALL COUNTRY ASIA;US;ETFA;;1;NA;NA;18988;PROM;;;44886.09;3;0;NA;852297;PROM;US;0;0;2.141
8032;TARGET;EEM;ISHARES MSCI EMERGING MARKETS;US;ETFA;;1;NA;NA;17695;PROM;;;27700.82;3;0;NA;490166;PROM;US;0;0;1.231
8032;TARGET;EWJ;ISHARE MSCI JAPAN ETF;US;ETFA;;1;NA;NA;20702;PROM;;;35829.53;3;0;NA;741743;PROM;US;0;.494;1.863
8032;TARGET;EWP;ISHARE MSCI SPAIN CAPPED ETF;US;ETFA;;1;NA;NA;13271;PROM;;;22436.32;3;0;NA;297752;PROM;US;0;0;.748
8032;TARGET;EWQ;ISHARES MSCI FRANCE ETF;US;ETFA;;1;NA;NA;26565;PROM;;;19760.37;3;0;NA;524934;PROM;US;0;.35;1.318
8032;TARGET;EWZ;ISHARE MSCI BRAZIL CAPPED ETF;US;ETFA;;1;NA;NA;4848;PROM;;;23646.55;3;0;NA;114638;PROM;US;0;0;.288
8032;TARGET;EZU;ISHARES MSCI EUROZONE ETF;US;ETFA;;1;NA;NA;19994;PROM;;;27687.37;3;0;NA;553581;PROM;US;0;0;1.39
8032;TARGET;GMF;SPDR S&P EMERGING ASIA PACIF;US;ETFA;;1;NA;NA;4118;PROM;;;60518.22;3;0;NA;249214;PROM;US;0;0;.626
8032;TARGET;ILF;ISHARES LATAM AMERICA 40 ETF;US;ETFA;;1;NA;NA;9799;PROM;;;20378.93;3;0;NA;199693;PROM;US;0;0;.502
8032;TARGET;ISCB;ISHARES $ CORP BOND UCITS ETF;IE;ETFA;;1;NA;NA;7350;PROM;;;77952.26;3;0;NA;572949;PROM;IE;0;0;1.439
8032;TARGET;RSX;VANECK VECTOR RUSSIA ETF;US;ETFA;;1;NA;NA;46499;PROM;;;13285.64;3;0;NA;617769;PROM;US;0;.412;1.552
8032;TARGET;SPY;SPDR TRUST SERIES I;US;ETFA;;1;NA;NA;14938;PROM;;;162332.18;3;0;NA;2424918;PROM;US;0;0;6.09
8032;TARGET;VGK;VANGUARD FTSE EUROPE ETF;US;ETFA;;1;NA;NA;27075;PROM;;;37792.79;3;0;NA;1023240;PROM;US;0;0;2.57
8032;TARGET;FORERIC LX;PARVEST EQUITY RUSSIA;LU;CFME;;1;NA;NA;3509.04;PROM;;;97498.27;3;0;NA;342125;PROM;LU;0;0;.859
8032;TARGET;GAMSCOU ID;GAM STAR CREDIT OPPORTUNITIES;GB;CFME;;1;NA;NA;99540.36;PROM;;;10800.29;3;0;NA;1075065;PROM;GB;0;0;2.7
8032;TARGET;INLACIA LX;INVESTEC LATIN AMERICA CORP;LU;CFME;;1;NA;NA;15374.08;PROM;;;18698.05;3;0;NA;287465;PROM;LU;0;0;.722
8032;TARGET;JBLEMBC LX;JULIUS BAER MULTIBOND;LU;CFME;;1;NA;NA;1746;PROM;;;217619.64;3;0;NA;379964;PROM;LU;0;0;.954
8032;TARGET;JPECCAU LX;JP MORGAN FUNDS-EME MKTS;LU;CFME;;1;NA;NA;4943.83;PROM;;;99413.65;3;0;NA;491484;PROM;LU;0;0;1.234
8032;TARGET;JPJECAJ LX;JPMORGAN FUNDS - JAPAN EQUITY;LU;CFME;;1;NA;NA;2326.64;YY;;;68067.15;3;0;NA;158368;YY;LU;0;0;.398
8032;TARGET;MERDUD2 LX;BLACKROCK GLOBAL FUNDS - ASIAN;LU;CFME;;1;NA;NA;49556.93;ECU;;;28171.47;3;0;NA;1396092;ECU;LU;0;0;3.506
8032;TARGET;PBIINEY ID;PINEBRIDGE GLOBAL FUNDS PB IN;IN;CFME;;1;NA;NA;427.72;PROM;;;305980.13;3;0;NA;130874;PROM;IN;0;0;.329
8032;TARGET;RGHYBID LX;ROBECO HIGH YIELD BONDS FUND;LU;CFME;;1;NA;NA;3883.05;PROM;;;177567.51;3;0;NA;689504;PROM;LU;0;0;1.732
8032;TARGET;SCHECAC LX;SCHRODER ASIAN FUND;LU;CFME;;1;NA;GRUPO 90 HOHNECK;22331.53;PROM;;;25487.78;3;0;NA;569181;PROM;LU;0;.584;1.43
8032;TARGET;SCHPFCA LX;Schroders Asian Opportunities;LU;CFME;;1;NA;NA;40776.34;PROM;;;13910.05;3;0;NA;567201;PROM;LU;0;0;1.425
8054;EMERGING;005930 KS;Samsung Electronics;KR;ACE;;1;NA;NA;260;KRW;;;1341914.12;3;0;NA;348898;KRW;KR;0;.001;1.744
8054;EMERGING;010130 KS;Korea Zinc Co Ltd;KR;ACE;;1;NA;NA;1030;KRW;;;262979.14;3;0;NA;270869;KRW;KR;0;.02;1.354
8054;EMERGING;012330 KS;Hyundai Mobis;KR;ACE;;1;NA;NA;300;KRW;;;164812.27;3;0;NA;49444;KRW;KR;0;.001;.247
8054;EMERGING;051910 KS;Lg Chem Ltd;KR;ACE;;1;NA;NA;1510;KRW;;;181323.52;3;0;NA;273799;KRW;KR;.002;5.978;1.369
8054;EMERGING;1398 HK;Ind & Comm Bank China;CN;ACE;;1;NA;NA;592000;HKD;;;449.52;3;0;NA;266116;HKD;HK;.001;0;1.33
8054;EMERGING;2308 TT;Delta Electronics Inc;TW;ACE;;1;NA;NA;30400;TWD;;;3705.9;3;0;NA;112659;TWD;TW;.001;.006;.563
8054;EMERGING;2317 TT;Hon Hai Precision Industry Co;TW;ACE;;1;NA;NA;34650;TWD;;;2299.45;3;0;NA;79676;TWD;US;0;.003;.398
8054;EMERGING;2801 HK;Ishares Msci China Tracker;HK;ETFA;;1;NA;NA;353700;HKD;;;1954.26;3;0;NA;691222;HKD;HK;0;.36;3.456
8054;EMERGING;000270 KS;Kia Motors Corporation;KR;ACE;;1;NA;NA;1552;KRW;;;23445.97;3;0;NA;36388;KRW;KR;0;0;.182
8054;EMERGING;005380 KS;Hyunday Motor Company;KR;ACE;;1;NA;NA;600;KRW;;;97866.67;3;0;NA;58720;KRW;KR;0;.305;.294
8054;EMERGING;338 HK;Sinopec Shanghai Petrochemical;CN;ACE;;1;NA;NA;208400;HKD;;;395.17;3;0;NA;82353;HKD;HK;.009;.003;.412
8054;EMERGING;347 HK;Angang New Steel Co Ltd -H;HK;ACE;;1;NA;NA;176000;HKD;;;448.66;3;0;NA;78964;HKD;HK;.02;.056;.395
8054;EMERGING;576 HK;Zhejiang Expressway Co;HK;ACE;;1;NA;NA;338000;HKD;;;788.61;3;0;NA;266550;HKD;HK;.024;.012;1.333
8054;EMERGING;6239 TT;Powertech Technology Inc;TW;ACE;;1;NA;NA;45000;TWD;;;2062.8;3;0;NA;92826;TWD;TW;.015;.017;.464
8054;EMERGING;700 HK;Tencent Holdings Limited;CN;ACE;;1;NA;NA;39100;HKD;;;23088.7;3;0;NA;902768;HKD;HK;.002;.091;4.513
8054;EMERGING;939 HK;China Construction Bank -H;HK;ACE;;1;NA;NA;319000;HKD;;;555.65;3;0;NA;177252;HKD;HK;0;0;.886
8054;EMERGING;998 HK;China Citic Bank;CN;ACE;;1;NA;NA;417000;HKD;;;415.01;3;0;NA;173059;HKD;HK;.003;0;.865
8054;EMERGING;BABA US;Alibaba Group Holding Ltd;CN;ADR;;1;NA;NA;1200;PROM;;;82335.98;3;0;NA;98803;PROM;US;0;.012;.494
8054;EMERGING;BKF US;Ishares Msci Bric Index Fund;US;ETFA;;1;NA;NA;1000;PROM;;;25112.27;3;0;NA;25112;PROM;US;0;.007;.126
8054;EMERGING;BOVA11 BZ;Ishares Ibovespa Fundo De Indi;BR;ETFA;;1;NA;NA;35500;BRL;;;12625.9;3;0;NA;448219;BRL;BR;0;.002;2.241
8054;EMERGING;BTI SJ;British American Tobacco Plc;GB;ACE;;1;NA;NA;5263;ZAR;;;48433.52;3;0;NA;254906;ZAR;ZA;0;.001;1.274
8054;EMERGING;CHL US;China Mobile Hk Ltd;HK;ADR;;1;NA;NA;4200;PROM;;;37053.21;3;0;NA;155623;PROM;US;0;.001;.778
8054;EMERGING;EEM US;Ishares Msci Emerging Markets;US;ETFA;;1;NA;NA;36200;PROM;;;27700.82;3;0;NA;1002770;PROM;US;0;.037;5.013
8054;EMERGING;EEMV US;Ishares Msci Emerging Markets;US;ETFA;;1;NA;NA;6500;PROM;;;37180.96;3;0;NA;241676;PROM;US;0;.009;1.208
8054;EMERGING;ERUS US;Ishares Msci Russia Capped Ind;RU;ETFA;;1;NA;NA;10250;PROM;;;20136.88;3;0;NA;206403;PROM;US;0;4.928;1.032
8054;EMERGING;EWM US;Ishares Msci Malaysia;US;ETFA;;1;NA;NA;8275;PROM;;;21447.97;3;0;NA;177482;PROM;US;0;.001;.887
8054;EMERGING;EWT US;Ishares Msci Taiwan Index Fd;US;ETFA;;1;NA;NA;68300;PROM;;;23115.39;3;0;NA;1578781;PROM;US;0;.015;7.893
8054;EMERGING;EWW US;Ishares Msci Mexico Capped Etf;US;ETFA;;1;NA;NA;5300;PROM;;;34706.71;3;0;NA;183946;PROM;US;0;.002;.92
8054;EMERGING;EWY US;Ishares Msci South Korea Cap;US;ETFA;;1;NA;NA;45800;PROM;;;45531.54;3;0;NA;2085345;PROM;US;0;.072;10.426
8054;EMERGING;EWZ US;Ishares Msci Brazil Capped Etf;US;ETFA;;1;NA;NA;19460;PROM;;;23646.55;3;0;NA;460162;PROM;US;0;.03;2.301
8054;EMERGING;EZA US;Ishares South Africa;US;ETFA;;1;NA;NA;14100;PROM;;;39984.65;3;0;NA;563784;PROM;US;0;.169;2.819
8054;EMERGING;GMEXICOBMM;Grupo Mexico S A;MX;ACE;;1;NA;NA;73800;MXN;;;1820.8;3;0;NA;134375;MXN;MX;.001;.002;.672
8054;EMERGING;GXC US;Spdr S&P China Etf;US;ETFA;;1;NA;NA;19800;PROM;;;58857.52;3;0;NA;1165379;PROM;US;0;.173;5.826
8054;EMERGING;IDX US;Market Vectors Indonesia Index;US;ETFA;;1;NA;NA;22205;PROM;;;15632.14;3;0;NA;347112;PROM;US;0;.565;1.735
8054;EMERGING;INDA US;Ishares Msci India Etf;IN;ETFA;;1;NA;NA;4200;PROM;;;21884.99;3;0;NA;91917;PROM;US;0;0;.46
8054;EMERGING;INDIA SP;Ishare Msci India Etf;SG;ETFA;;1;NA;NA;173800;PROM;;;5472.93;3;0;NA;951195;PROM;SG;0;3.376;4.756
8054;EMERGING;INDY US;Ishares India 50 Etf;US;ETFA;;1;NA;NA;21255;PROM;;;22927.14;3;0;NA;487316;PROM;US;0;1.751;2.436
8054;EMERGING;ITUB US;Itau Unibanco Holding Sa;BR;ADR;;1;NA;NA;9500;PROM;;;7335.34;3;0;NA;69686;PROM;US;0;0;.348
8054;EMERGING;KLBN4 BZ;Klabin S A;BR;ACE;;1;NA;NA;72000;BRL;;;593.62;3;0;NA;42741;BRL;BR;.008;.002;.214
8054;EMERGING;LCLTTIU LX;Lc Lux- Latam Tiger Fund;LU;CFME;;1;NA;NA;8125;PROM;;;56524.46;3;0;NA;459261;PROM;US;0;.046;2.296
8054;EMERGING;MCHI US;Ishares Msci China Index Fd;US;ETFA;;1;NA;NA;20700;PROM;;;36152.26;3;0;NA;748352;PROM;US;0;0;3.741
8054;EMERGING;NAFTRAC MM;Ishares Naftrac;MX;ETFA;;1;NA;NA;102000;MXN;;;1761.28;3;0;NA;179651;MXN;MX;0;.007;.898
8054;EMERGING;OCCID CB;Banco De Occidente S A;CO;ACE;;1;NA;NA;9800;PROM;;;8763.41;3;0;NA;85881;PROM;CO;.007;.001;.429
8054;EMERGING;PBIINEY ID;Pinebridge Global Funds - Pine;IE;CFME;;1;NA;NA;1609.23;PROM;;;305982.99;3;0;NA;492397;PROM;US;0;.065;2.462
8054;EMERGING;PTTEP-R TB;Ptt Exploration And Production;TH;ACE;;1;NA;NA;34000;THB;;;1777.65;3;0;NA;60440;THB;TH;.001;.001;.302
8054;EMERGING;REI SJ;Reinet Investments Sca;LU;ACE;;1;NA;NA;52798;ZAR;;;1623.63;3;0;NA;85724;ZAR;ZA;0;.001;.429
8054;EMERGING;REM SJ;Remgro Limited;ZA;ACE;;1;NA;NA;7500;ZAR;;;11167.93;3;0;NA;83759;ZAR;ZA;.002;.002;.419
8054;EMERGING;RSX US;Market Vectors Russia Etf Rsx;US;ETFA;;1;NA;NA;27800;PROM;;;13285.64;3;0;NA;369341;PROM;US;0;0;1.847
8054;EMERGING;SNP US;China Petroleum & Chem-Adr;CN;ADR;;1;NA;NA;3440;PROM;;;55193.21;3;0;NA;189865;PROM;US;0;.001;.949
8054;EMERGING;THD US;Ishares Msci Thailand Capped I;US;ETFA;;1;NA;NA;11400;PROM;;;52564.32;3;0;NA;599233;PROM;US;0;.943;2.996
