Date,BUSG Index,BUHY Index,BUSC Index,BMBS Index,CRY Index,SPX Index,BGER Index,BERC Index,BEUH Index,DAX Index,BJPN Index,BJPY Index,NKY Index,BRIT Index,BGBP Index,BGBH Index,UKX Index,BAUS Index,BAUD Index,AS51 Index,BEMS Index,BIEM Index,BEAC Index,VEIEX US Equity,BCGB Index,SHSZ300 Index
1/1/2010,,,,,,,,,,,,,,,,,,,,,,,,,,
1/4/2010,0.00096953,0.004728802,0.002506855,0.001978042,0,0,0.001279181,0.001848291,0.008801156,0,-0.001791604,-0.001761551,0,0.005504821,0.007462089,0.004967641,0,-0.004670892,-0.001941884,0,0.002706335,0.002277405,0.001239232,0,-0.002981672,0
1/5/2010,0.002922885,0.005181925,0.005778724,0.002213162,0.000241901,0.003110806,0.000948336,0.001695423,0.007003293,-0.00272182,-0.000120222,-8.01443E-05,0.002534611,-0.007096086,-0.002723335,0.004705424,0.004020748,0.004370847,0.001671848,0.009795397,0.003027197,0.004310845,0.003907501,0.006365871,0.007238631,0.008116094
1/6/2010,-0.002223808,0.004199258,-0.001955656,-0.001454952,0.01498682,0.000545376,-0.000938349,0.000428387,0.005497054,0.000409408,-0.000531155,-2.00371E-05,0.004634515,-0.002969117,-0.000278715,0.008981845,0.001364392,0.000130031,0.00082988,-0.00058909,-0.000606697,0.000357572,0.003495813,0.006696454,-0.00175243,-0.00627971
1/7/2010,-0.000379438,0.00369064,0.00074499,-0.000329152,-0.011124347,0.003993283,0.000589066,0.001602333,0.00623584,-0.002483888,-0.000732053,-0.000942195,-0.00465043,-0.000321514,0.002614874,0.009592353,-0.000600538,-0.001030706,-0.001680471,-0.004480294,-0.000557292,0.00108187,0.005368835,-0.00744328,-0.00664926,-0.020040359
1/8/2010,0.001247611,0.001874544,0.00192447,0.001296034,0.000825735,0.002877549,0.000728365,0.000725679,0.002477666,0.003027297,-0.000953475,-0.000591832,0.010862314,-0.00033167,0.002380245,0.006057541,0.001359738,-0.001121975,-0.000100117,0.0025888,0.000427948,0.00136803,0.003317602,0.004844429,-0.005331254,0.002495547
1/11/2010,2.99235E-05,0.001978686,0.000426057,0.001413751,-0.004757317,0.001745232,0.001255931,0.002213543,0.003226325,0.000478552,0.000953475,0.000932728,0,0.007301386,0.008816886,0.00721135,0.000691816,0.000100228,0.000380392,0.007827432,0.001570889,0.000782306,0.003316427,0.002969564,0.014359488,0.000552126
1/12/2010,0.00474649,0.000851001,0.005581391,0.002226088,-0.016971709,-0.009425438,0.001920714,0.001199023,-0.000367644,-0.016272734,-0.000220724,-0.000360953,0.007456628,0.004848072,0.004946311,0.000575435,-0.007132545,0.002402452,0.001260265,-0.010395822,0.000595894,0.002915872,0.001272626,-0.011556513,-0.002129863,0.015067762
1/13/2010,-0.002962671,0.00031283,-0.003987766,-0.002186293,0.002176738,0.008291384,-0.001203747,0.000623716,-0.002858681,0.003383132,0.001363696,0.000922176,-0.013334968,-0.001948349,-0.001378589,0.00089127,-0.004598908,0.003901675,0.00246592,-0.006429442,-0.001400915,-0.002668434,0.000489041,0,-0.004313407,-0.032714539
1/14/2010,0.002893178,0.00060583,0.00369219,0.001630235,-0.00249311,0.002423567,0.002207419,0.000583763,-0.000339709,0.004307228,-0.000471067,-0.000210422,0.015954902,-0.00099552,-0.001018051,-8.62172E-05,0.004506154,-0.003801698,-0.002615868,0.006123241,-0.000915132,0.001759989,0.000498575,0,0.004950851,0.013906071
1/15/2010,0.001874601,0.000107448,0.001801652,0.001736654,-0.010674497,-0.010882186,0.001925024,0.000721811,-0.000349535,-0.019033264,0.00027064,3.0063E-05,0.006799546,0.00206957,0.001497351,0.001072396,-0.007820321,0.001588293,0.001438576,0.000326611,-0.000328458,0.000671539,0.000732747,-0.009796612,0.001392993,0.003937697
1/18/2010,0.000673601,0.000576113,0.000550677,0.000525364,0,0,0.001010642,2.96523E-05,0.000485432,0.007220334,0.000771423,0.001131715,-0.011633501,0.002154563,0.00158299,9.56979E-06,0.007127127,0.002293076,0.001645828,0.00234438,0.000457821,0.000463888,0.000341765,0,-0.000348066,0.005139612
1/19/2010,-0.001070049,-0.000331957,-0.001869601,-0.000327081,0.006517219,0.012422194,-0.001933,-0.001295638,0.000135879,0.009740279,-0.000911746,-0.000991433,-0.008342332,-0.007196675,-0.00654359,0.00025835,0.003406762,0.001542373,0.000767127,-0.010212628,0.001113818,-0.000927992,0.001044101,0.012791747,-0.006275994,0.001940023
1/20/2010,0.00182236,-0.000498142,0.002419975,7.93021E-05,-0.013399166,-0.010654438,0.00247753,0.001977399,-0.000203825,-0.0211286,0.000300667,0.000530889,-0.002546691,0.000409498,-0.00014743,-0.001014645,-0.016890928,-0.001104296,-9.95892E-06,0.001438938,1.98783E-05,0.000671399,0.000838395,-0.021920757,0.004982114,-0.03276137
1/21/2010,0.002500335,-0.000762344,0.002531746,0.002138784,-0.007073765,-0.019126605,0.001878826,-0.000493983,-0.002030813,-0.018030406,-0.000801981,-0.000751341,0.012116266,0.003488909,0.00232685,-0.003424842,-0.015935777,-0.000199102,0.0001195,-0.008457669,-0.002418116,0.000532849,-0.001306642,-0.027112428,0.003201785,0.004156991
1/22/2010,0.000463801,-0.002692398,-0.000941297,-0.000593648,-0.007051578,-0.022389806,0.000177811,0.000197623,-0.003790855,-0.009027974,0.001002376,0.000701269,-0.025898322,0.002047796,0.000656821,-0.003388398,-0.006036816,0.003706744,0.002377082,-0.015995664,-0.002334096,-0.001194372,-0.001103198,-0.020627467,-0.002315794,-0.012510402
1/25/2010,-0.000888319,-0.001854624,-0.002121162,-0.000356358,0.004273047,0.004587541,-0.000158053,-0.00012845,-0.000185526,-0.011292033,0.00084122,0.000700778,-0.007378995,0.000357437,0.000509474,-0.002229892,-0.008080852,0.000852692,0.000774563,-0.006907141,0.001855751,-0.000918959,0.000537107,0.006790519,0.011968254,-0.011407891
1/26/2010,0.000493608,-0.000805723,0.000167107,0.000376152,-0.010388383,-0.004212071,0.000819628,0.000395179,-0.002454133,0.006647636,-0.000781109,-0.000730822,-0.017987842,0.004081598,0.003705464,-0.003155432,0.003139368,0.001732888,0.001339173,0,0.000139541,0.000316296,-0.000625024,-0.021324485,0.001503191,-0.025939501
