,CURRENCY_SHORT,CURRENCY_LONG,DAYS,RETURNS,RETURNS_ANNUALIZED
0,EUR,MXN,45.0,2.49542735693,20.2406885618
0,USD,JPY,10.0,0.545064526892,19.8948552316
0,EUR,JPY,90.0,4.73797711326,19.2151294038
0,USD,AUD,60.0,2.92945413517,17.820845989
0,MXN,CLP,45.0,2.18468222433,17.720200264
0,CLP,BRL,90.0,3.92472208704,15.9169284641
0,AUD,EUR,15.0,0.606372117655,14.7550548629
0,EUR,CLP,30.0,1.20077561767,14.6094366816
0,EUR,USD,2.0,0.0739638176118,13.4983967141
0,CLP,USD,10.0,0.335302103694,12.2385267848
0,EUR,JPY,45.0,1.48819567136,12.0709204455
0,EUR,MXN,60.0,1.9693276875,11.9800767657
0,JPY,AUD,10.0,0.315323664997,11.5093137724
0,EUR,JPY,2.0,0.0587206550692,10.7165195501
0,AUD,AUD,2.0,0.0476042383663,8.68777350184
0,JPY,EUR,10.0,0.227842361115,8.3162461807
0,JPY,CLP,30.0,0.665624145676,8.09842710573
0,EUR,AUD,10.0,0.189188505495,6.90538045056
0,MXN,JPY,90.0,1.61690397823,6.5574439117
0,AUD,JPY,15.0,0.224334917844,5.45881633421
0,AUD,AUD,10.0,0.148510152726,5.42062057452
0,USD,CLP,15.0,0.174783439413,4.25306369238
0,AUD,AUD,15.0,0.173595907546,4.22416708363
0,EUR,EUR,2.0,0.0213030356832,3.88780401219
0,JPY,MXN,45.0,0.470847745775,3.81909838239
0,EUR,EUR,10.0,0.101707201613,3.71231285886
0,AUD,AUD,30.0,0.304734269437,3.70760027815
0,AUD,AUD,45.0,0.443374082954,3.59625645063
0,AUD,AUD,60.0,0.591165443937,3.59625645061
0,AUD,AUD,90.0,0.854544735647,3.46565365012
0,EUR,MXN,90.0,0.841172597288,3.41142220011
0,EUR,EUR,15.0,0.12204864193,2.96985028696
0,AUD,EUR,10.0,0.0610288488441,2.22755298281
0,EUR,EUR,30.0,0.183072962896,2.22738771524
0,USD,AUD,90.0,0.47573368451,1.92936438718
0,JPY,EUR,15.0,0.0775452170574,1.88693361506
0,EUR,EUR,45.0,0.220131368719,1.78550999072
0,AUD,USD,90.0,0.378811051137,1.53628926294
0,EUR,EUR,60.0,0.25119829576,1.52812296587
0,EUR,EUR,90.0,0.3445604635,1.39738410197
0,USD,USD,15.0,0.0,0.0
0,USD,USD,90.0,0.0,0.0
0,USD,USD,10.0,0.0,0.0
0,USD,USD,60.0,0.0,0.0
0,USD,USD,30.0,0.0,0.0
0,USD,USD,45.0,0.0,0.0
0,CLP,CLP,2.0,-0.000303570750958,-0.0554016620499
0,COP,COP,2.0,-0.00463112430413,-0.845180185504
0,EUR,JPY,30.0,-0.0819164268437,-0.996649859931
0,CLP,CLP,10.0,-0.0285104901015,-1.0406328887
0,CLP,CLP,15.0,-0.0467246046863,-1.1369653807
0,JPY,USD,2.0,-0.00770277053991,-1.40575562353
0,JPY,JPY,90.0,-0.379047123162,-1.53724666616
0,CLP,CLP,30.0,-0.146902561094,-1.78731449331
