,CURRENCY_SHORT,CURRENCY_LONG,DAYS,RETURNS,RETURNS_ANNUALIZED
0,SEK,NZD,2.0,0.668219257869,121.950014561
0,EUR,NZD,2.0,0.642974356632,117.342820085
0,CHF,NZD,2.0,0.602482561537,109.953067481
0,SEK,AUD,2.0,0.593124459999,108.24521395
0,EUR,AUD,2.0,0.567879558762,103.638019474
0,JPY,NZD,2.0,0.550699182344,100.502600778
0,CHF,AUD,2.0,0.527387763667,96.2482668692
0,JPY,AUD,2.0,0.475604384473,86.7978001664
0,CAD,NZD,2.0,0.438920880705,80.1030607286
0,USD,NZD,2.0,0.403508412494,73.6402852802
0,CAD,AUD,2.0,0.363826082835,66.3982601173
0,USD,AUD,2.0,0.328413614624,59.9354846689
0,NZD,JPY,60.0,8.88336828829,54.0404904205
0,NZD,JPY,90.0,12.806557933,51.9377071727
0,NZD,CHF,60.0,8.23882615567,50.1195257803
0,NZD,CHF,90.0,11.8035559037,47.8699767204
0,NZD,CHF,45.0,5.77928242202,46.8764018675
0,USD,JPY,60.0,7.6364970128,46.4553568279
0,NZD,CAD,45.0,5.45205154937,44.2221959005
0,NZD,JPY,45.0,5.30837617852,43.0568290035
0,NZD,CAD,60.0,7.07450274395,43.036558359
0,USD,CHF,60.0,6.99195488018,42.5343921877
0,NZD,CAD,30.0,3.46389453624,42.144050191
0,USD,CHF,45.0,5.14239348951,41.7105249704
0,USD,JPY,90.0,10.2471755582,41.5579897638
0,USD,CAD,30.0,3.36478850793,40.9382601798
0,AUD,NZD,2.0,0.218245270318,39.829761833
0,AUD,JPY,60.0,6.43701000585,39.1584775356
0,NZD,CHF,30.0,3.21367320869,39.0996907058
0,USD,CAD,45.0,4.81516261685,39.0563190034
0,AUD,JPY,90.0,9.46507270961,38.3861282112
0,SEK,USD,2.0,0.209916324827,38.3097292809
0,USD,CHF,30.0,3.11456718038,37.8939006946
0,USD,JPY,45.0,4.671487246,37.8909521064
0,NZD,EUR,60.0,6.21129161524,37.785357326
0,USD,CHF,90.0,9.24417352887,37.4902593115
0,NZD,EUR,90.0,9.12429119993,37.0040698664
0,NZD,CAD,90.0,9.09391303775,36.880869542
0,USD,CAD,60.0,5.82763146846,35.4514247665
0,AUD,CHF,60.0,5.79246787322,35.2375128954
0,AUD,CHF,45.0,4.26457559793,34.5904465165
0,NZD,SEK,90.0,8.4973046175,34.4612909487
0,AUD,CHF,90.0,8.46207068029,34.3183977589
0,NZD,SEK,60.0,5.5587916183,33.8159823447
0,EUR,USD,2.0,0.18467142359,33.7025348052
0,AUD,CAD,30.0,2.70689914861,32.9339396415
0,AUD,CAD,45.0,3.93734472528,31.9362405495
0,NZD,EUR,45.0,3.91768270605,31.7767597268
0,SEK,CAD,2.0,0.169979783169,31.0213104284
0,AUD,JPY,45.0,3.79366935442,30.7708736525
0,USD,EUR,60.0,4.96442033975,30.2002237335
0,USD,CHF,15.0,1.23017284754,29.9342059568
0,USD,NZD,10.0,0.819980627328,29.9292928975
0,AUD,CHF,30.0,2.45667782106,29.8895801563
0,AUD,CAD,60.0,4.6281444615,28.1545454742
0,NZD,SEK,45.0,3.43691581699,27.8772060711
0,NZD,JPY,30.0,2.2045978014,26.8226065837
0,USD,EUR,90.0,6.56490882514,26.6243524575
0,USD,EUR,45.0,3.28079377353,26.6108828297
0,EUR,NZD,10.0,0.726816932567,26.5288180387
0,USD,CAD,90.0,6.53453066297,26.5011521331
0,EUR,CAD,2.0,0.144734881933,26.4141159527
0,CHF,USD,2.0,0.144179628495,26.3127822003
0,USD,SEK,60.0,4.31192034281,26.2308487521
0,AUD,AUD,2.0,0.143150472447,26.1249612217
0,USD,AUD,10.0,0.708123561572,25.8465099974
0,USD,JPY,30.0,2.10549177308,25.6168165725
0,SEK,NZD,10.0,0.66899607902,24.4183568842
0,USD,SEK,90.0,5.93792224271,24.0815735399
0,AUD,EUR,90.0,5.78280597656,23.4524909049
0,AUD,CAD,90.0,5.75242781438,23.3292905805
0,AUD,EUR,60.0,3.76493333279,22.9033444412
0,USD,SEK,45.0,2.80002688447,22.711329174
0,EUR,AUD,10.0,0.614959866812,22.4460351386
0,NZD,EUR,30.0,1.81717937515,22.109015731
0,EUR,CAD,30.0,1.75967575879,21.4093883986
0,AUD,SEK,90.0,5.15581939412,20.9097119873
0,USD,EUR,30.0,1.71807334684,20.9032257198
0,SEK,AUD,10.0,0.557139013265,20.3355739842
0,AUD,EUR,45.0,2.40297588195,19.4908043758
0,USD,CAD,15.0,0.790881865406,19.2447920582
0,CHF,CAD,2.0,0.104243086837,19.0243633478
