,BRL,AUD,JPY,USD,EUR,MXN,CLP,COP
2.0,,1.50407932011,-0.0574952076677,0.475,-0.347313099042,,0.0390027700831,7.4014674221
10.0,,1.53671388102,-0.0646178082192,0.454809589041,-0.377726027397,,0.351024930748,7.42920679887
15.0,,1.55711048159,-0.0639767123288,0.471264383562,-0.375589041096,,0.546038781163,7.44654390935
30.0,,1.61830028329,-0.0620534246575,0.520628767123,-0.369178082192,,1.13108033241,7.49855524079
45.0,14.1198356164,1.66794520548,-0.0452191780822,0.581931506849,-0.353657534247,4.60578767123,1.71612188366,7.50719178082
60.0,14.1237808219,1.71726027397,-0.0279589041096,0.643575342466,-0.337876712329,4.61688356164,2.3011634349,7.5145890411
90.0,14.0913972603,1.7295890411,-0.0231643835616,0.817684931507,-0.299602739726,4.63907534247,3.4712465374,7.52938356164
