Run Fondo;Nombre Fondo;FFM_6040111;FFM_6040112;FFM_6040113;FFM_6040114;FFM_6040115;FFM_6040116;FFM_6040200;FFM_6040300;FFM_6040400;FFM_6040500;FFM_6040600
8032;TARGET;PROM;FORWARD;$$;22/02/2017;$$;CL;V;1700000;680.45;1156765;1100105
8032;TARGET;PROM;FORWARD;$$;30/03/2017;$$;CL;V;675000;674.4;455220;437883
8032;TARGET;PROM;FORWARD;$$;18/04/2017;$$;CL;V;1600000;661.45;1058320;1039254
8032;TARGET;PROM;FORWARD;$$;21/04/2017;$$;CL;V;1350000;664;896400;877044
8032;TARGET;YY;FORWARD;$$;20/04/2017;$$;CL;V;36800000;5.86;215615;212560
8032;TARGET;PROM;FORWARD;$$;01/02/2017;$$;CL;V;1000000;669.93;669930;646190
8032;TARGET;PROM;FORWARD;$$;18/04/2017;$$;CL;V;100000;661.95;66195;64953
8032;TARGET;PROM;FORWARD;$$;26/04/2017;$$;CL;V;1300000;658.14;855582;844838
8048;CHECK;UF;FORWARD;$$;06/02/2017;$$;CL;V;55000;26378;1450790;1446941
8048;CHECK;UF;FORWARD;$$;08/02/2017;$$;CL;V;100000;26503;2650300;2630462
8048;CHECK;UF;FORWARD;$$;09/02/2017;$$;CL;V;90000;26510;2385900;2367263
8048;CHECK;UF;FORWARD;$$;21/03/2017;$$;CL;V;40000;26359;1054360;1055558
8048;CHECK;UF;FORWARD;$$;07/04/2017;$$;CL;V;41000;26419;1083179;1082933
8048;CHECK;UF;FORWARD;$$;10/04/2017;$$;CL;V;25500;26371;672461;673808
8048;CHECK;UF;FORWARD;$$;19/04/2017;$$;CL;V;50000;26408;1320400;1322822
8048;CHECK;UF;FORWARD;$$;28/06/2017;$$;CL;V;40000;26584;1063360;1064782
8048;CHECK;UF;FORWARD;$$;13/07/2017;$$;CL;V;100000;26656;2665600;2664554
8048;CHECK;UF;FORWARD;$$;24/07/2017;$$;CL;V;150000;26745;4011750;3999729
8048;CHECK;UF;FORWARD;$$;14/08/2017;$$;CL;V;100000;26788;2678800;2670249
8048;CHECK;UF;FORWARD;$$;01/09/2017;$$;CL;V;50000;26719;1335950;1336834
8055;FIRST;UF;FORWARD;$$;09/11/2017;$$;CL;V;300000;27026;8107800;8082400
8055;FIRST;UF;FORWARD;$$;13/06/2017;$$;CL;V;30000;26659;799770;797840
8055;FIRST;UF;SWAP;$$;09/04/2020;$$;CL;V;30000;26512.17;795365;807253
8055;FIRST;UF;SWAP;$$;09/04/2020;$$;CL;V;70000;26512.16;1855851;1884888
8055;FIRST;UF;SWAP;$$;09/04/2020;$$;CL;V;85000;26512.15;2253533;2291157
8055;FIRST;UF;SWAP;$$;09/04/2019;$$;CL;V;40000;26512.15;1060486;1070964
8055;FIRST;UF;SWAP;$$;09/04/2020;$$;CL;V;30000;26512.17;795365;808922
8055;FIRST;UF;SWAP;$$;11/05/2020;$$;CL;C;35000;26487;927045;945604
8055;FIRST;UF;SWAP;$$;11/05/2020;$$;CL;C;20000;26487;529740;541554
8055;FIRST;UF;SWAP;$$;11/05/2020;$$;CL;C;86000;26487;2277882;2331878
8055;FIRST;UF;SWAP;$$;11/05/2020;$$;CL;C;140000;26487;3708180;3803888
8064;DE PERSONAS;UF;FORWARD UF;UF;09/03/2017;$$;CL;C;60000;26578;1594680;1582363
8064;DE PERSONAS;PROM;FORWARD PROM;PROM;03/03/2017;PROM;CL;V;2149400;707.22;1520099;1392166
