Run Fondo;Nombre Fondo;FFM_6020100;FFM_6020200;FFM_6020300;FFM_6020400;FFM_6020500;FFM_6020600;FFM_6020700;FFM_6020800;FFM_6020900;FFM_6021000;FFM_tir_6021111;FFM_par_6021111;FFM_rel_6021111;FFM_6021112;FFM_6021113;FFM_6021114;FFM_6021200;FFM_6021300;FFM_6021400;FFM_6021511;FFM_6021512;FFM_6021513
8684;SELECCION LATAM;HBOR3 BZ Equity;HELBOR EMPREENDIMENTOS SA;BR;ACE;;1;NA;NA;72100;CA;;;181.41;3;0;NA;13080;PROM;US;0;0;.541
8684;SELECCION LATAM;GXG US EQUITY;GLOBAL X/ INTERBO FTSE COL 20;CO;ETFA;;1;NA;NA;5000;CA;;;6710.61;3;0;NA;33553;PROM;US;0;0;1.388
8684;SELECCION LATAM;GFNORTEO MM EQUITY;GRUPO FINANCIERO BANORTE S.A.B;MX;ACE;;1;NA;NA;41286;CA;;;3348.37;3;0;NA;138241;PROM;US;0;0;5.717
8684;SELECCION LATAM;FLN US EQUITY;FIRST TRUST LATIN AMERICA;US;ETFA;;1;NA;NA;4300;CA;;;11846.03;3;0;NA;50938;PROM;US;0;0;2.106
8684;SELECCION LATAM;GRUMAB MM EQUITY;GRUMA S.A.B.;MX;ACE;;1;NA;NA;15469;CA;;;6649.51;3;0;NA;102861;PROM;US;0;0;4.254
8684;SELECCION LATAM;GGAL US EQUITY;Grupo financiero Galicia S.A.;US;ADR;;1;NA;NA;700;CA;;;26697.25;3;0;NA;18688;PROM;US;0;0;.773
8684;SELECCION LATAM;FLEFLCD LX EQUITY;JP Morgan funds - Latin Americ;LU;CFME;;1;NA;NA;3442.94;CU;;;17309.97;3;0;NA;59597;PROM;US;0;0;2.465
8684;SELECCION LATAM;FBZ US EQUITY;FIRST TRUST BRAZIL ALPHADEX FU;BR;ETFA;;1;NA;NA;1350;CA;;;8572.92;3;0;NA;11573;PROM;US;0;0;.479
8684;SELECCION LATAM;EWZS US EQUITY;ISHARES MSCI BRAZIL SMALL CA;US;ETFA;;1;NA;NA;21500;CA;;;8749.68;3;0;NA;188118;PROM;US;0;0;7.779
8684;SELECCION LATAM;EWZ US EQUITY;ISHARES MSCI BRASIL INDEX FUND;BR;ETFA;;1;NA;NA;10000;CA;;;22486.55;3;0;NA;224866;PROM;US;0;0;9.299
8684;SELECCION LATAM;EWW US EQUITY;ISHARES MSCI MEXICO INDEX FUND;MX;ETFA;;1;NA;NA;1000;CA;;;28206.04;3;0;NA;28206;PROM;US;0;0;1.166
8684;SELECCION LATAM;EPU US EQUITY;ISHARES MSCI ALL PERU CAPPED;PE;ETFA;;1;NA;NA;1900;CA;;;26602.56;3;0;NA;50545;PROM;US;0;0;2.09
8684;SELECCION LATAM;ENBR3 BZ Equity;EDP - ENERGIAS DO BRASIL SA;BR;ACE;;1;NA;NA;8400;CA;;;2241.32;3;0;NA;18827;PROM;US;0;0;.779
8684;SELECCION LATAM;ECH US EQUITY;ISHARE MSCI CHILE INVESTABLE;US;ETFA;;1;NA;NA;625;CA;;;31507.68;3;0;NA;19692;PROM;US;0;0;.814
8684;SELECCION LATAM;YPF US EQUITY;YPF SOCIEDAD ANONIMA;AR;ADR;;1;NA;NA;900;CA;;;11464.23;3;0;NA;10318;PROM;US;0;0;.427
8684;SELECCION LATAM;VULC3 BZ EQUITY;VULCABRAS AZALEIA SA;BR;ACE;;1;NA;NA;12250;CA;;;1202.04;3;0;NA;14725;PROM;US;0;0;.609
8684;SELECCION LATAM;TS US EQUITY;TENARIS SA ADR;US;ADR;;1;NA;NA;1500;CA;;;22663.31;3;0;NA;33995;PROM;US;0;0;1.406
8684;SELECCION LATAM;TECN3 BZ Equity;TECHNOS SA;BR;ACE;;1;NA;NA;36470;CA;;;311.95;3;0;NA;11377;PROM;US;0;0;.47
8684;SELECCION LATAM;TCSA3 BZ EQUITY;TECNISA SA;BR;ACE;;1;NA;NA;66370.99;CA;;;218.71;3;0;NA;14516;PROM;US;0;0;.6
