Run Fondo;Nombre Fondo;FFM_6040111;FFM_6040112;FFM_6040113;FFM_6040114;FFM_6040115;FFM_6040116;FFM_6040200;FFM_6040300;FFM_6040400;FFM_6040500;FFM_6040600
8676;RENTA BONOS CHILE;UF;FORWARD;$$;19/06/2018;$$;CL;V;66000;27311;1802526;1787652
8684;SELECCION LATAM;USD;FORWARD;PROM;14/02/2018;$$;CL;V;104000;605.55;62977;62760
8707;SELECCION GLOBAL;USD;FORWARD;$$;14/02/2018;$$;CL;V;2527000;605.55;1530225;1524858
8773;ESTRATEGIA CONSERVAD;USD;FORWARD;$$;14/02/2018;$$;CL;V;4839000;605.55;2930256;2919978
8774;ESTRATEGIA EQUILIBRA;USD;FORWARD;$$;14/02/2018;$$;CL;V;6769000;605.55;4098968;4084591
8775;ESTRATEGIA ACTIVA;USD;FORWARD;$$;14/02/2018;$$;CL;V;4491000;605.55;2719525;2709986
8776;RENTA INTERNACIONAL;USD;FORWARD;$$;14/02/2018;$$;CL;V;169000;605.55;102338;101979
8915;USA;USD;FORWARD;$$;14/02/2018;$$;CL;V;357000;605.55;216181;215423
8916;EMERGENTES;USD;FORWARD;$$;14/02/2018;$$;CL;V;258000;605.55;156232;155684
8980;ASIA EMERGENTE;USD;FORWARD;$$;14/02/2018;$$;CL;V;254000;605.55;153810;153270
9003;RENTA ACTIVA;UF;FORWARD;$$;02/04/2018;$$;CL;V;80000;26900;2152000;2143680
9084;RENTA LOCAL UF;UF;FORWARD;$$;03/07/2018;$$;CL;V;21000;27173;570633;569377
9084;RENTA LOCAL UF;UF;FORWARD;$$;02/04/2018;$$;CL;V;54000;26951;1455354;1453734
9084;RENTA LOCAL UF;UF;FORWARD;$$;19/06/2018;$$;CL;V;14000;27311;382354;379199
9106;RENTA CORTO PLAZO;UF;FORWARD;$$;01/10/2018;$$;CL;V;50000;27267;1363350;1363825
9106;RENTA CORTO PLAZO;UF;FORWARD;$$;01/06/2018;$$;CL;V;50000;26922;1346100;1352628
9106;RENTA CORTO PLAZO;UF;FORWARD;$$;02/04/2018;$$;CL;V;10000;26900;269000;269210
9106;RENTA CORTO PLAZO;UF;FORWARD;$$;03/07/2018;$$;CL;V;22000;27173;597806;596490
9106;RENTA CORTO PLAZO;UF;FORWARD;$$;01/06/2018;$$;CL;V;40000;27254;1090160;1082102
9106;RENTA CORTO PLAZO;UF;FORWARD;$$;06/02/2018;$$;CL;V;30000;27006;810180;804904
9145;RENTA NOMINAL CHILE;UF;FORWARD;UF;01/06/2018;$$;CL;V;50000;26922;1346100;1352628
9145;RENTA NOMINAL CHILE;UF;FORWARD;UF;02/04/2018;$$;CL;V;10000;26900;269000;269210
9145;RENTA NOMINAL CHILE;UF;FORWARD;UF;02/04/2018;$$;CL;V;14000;26951;377314;376894
9473;MULTIACTIVO AGRESIVO;USD;FORWARD;$$;14/02/2018;$$;CL;V;19046000;605.55;11533305;11489500
9474;MULTIACTIVO MODERADO;USD;FORWARD;PROM;14/02/2018;$$;CL;V;12179000;605.55;7374993;7346982
8363;RENTA A PLAZO;UF;FORWARD;$$;28/05/2018;UF;CL;V;100000;27042;2704200;2704599
8363;RENTA A PLAZO;UF;FORWARD;$$;14/05/2018;UF;CL;V;80000;26982;2158560;2161827
8411;RENDIMIENTO NOMINAL;UF;FORWARD;$$;09/02/2018;$$;CL;C;10000;1.85;263067;263417
8411;RENDIMIENTO NOMINAL;$$;FORWARD;$$;09/02/2018;$$;CL;V;260000000;4.55;264859;264647
8411;RENDIMIENTO NOMINAL;UF;FORWARD;$$;09/05/2019;UF;CL;C;50000;27689;1384450;1384306
8459;EUROAMERICA M.MARKET;UF;FORWARD;$$;12/03/2018;UF;CL;V;40000;26885;1073527;1073032
8694;PROYECCION A;PROM;FORWARD;$$;03/04/2018;PROM;CL;V;3060000;602.97;1845088;1847254
8694;PROYECCION A;PROM;FORWARD;$$;19/12/2018;PROM;CL;V;6000000;609.1;3654600;3634989
8695;PROYECCION C;UF;FORWARD;$$;09/02/2018;$$;CL;C;50000;1.86;1314388;1317087
8695;PROYECCION C;$$;FORWARD;$$;09/02/2018;$$;CL;V;1300000000;4.55;1324295;1323235
8695;PROYECCION C;PROM;FORWARD;$$;03/04/2018;PROM;CL;V;3040000;602.97;1833029;1835180
