Run Fondo;Nombre Fondo;FFM_6020100;FFM_6020200;FFM_6020300;FFM_6020400;FFM_6020500;FFM_6020600;FFM_6020700;FFM_6020800;FFM_6020900;FFM_6021000;FFM_tir_6021111;FFM_par_6021111;FFM_rel_6021111;FFM_6021112;FFM_6021113;FFM_6021114;FFM_6021200;FFM_6021300;FFM_6021400;FFM_6021511;FFM_6021512;FFM_6021513
8684;SELECCION LATAM;YPF US EQUITY;YPF SOCIEDAD ANONIMA;AR;ADR;;1;NA;NA;1000;CA;;;13718.33;3;0;NA;13718;PROM;US;0;0;.445
8684;SELECCION LATAM;VALE US EQUITY;vale do rio doce;BR;ADR;;1;NA;NA;19000;CA;;;8150.27;3;0;NA;154855;PROM;US;0;0;5.023
8684;SELECCION LATAM;TS US EQUITY;TENARIS SA ADR;US;ADR;;1;NA;NA;2200;CA;;;20473.61;3;0;NA;45042;PROM;US;0;0;1.461
8684;SELECCION LATAM;SLQD US EQUITY;ISHARES 0-5 YEAR INVESTMENT GR;US;ETFB;;1;NA;NA;500;CA;;;29555.78;3;0;NA;14778;PROM;US;0;0;.479
8684;SELECCION LATAM;RASSICPO MM EQUITY;RASSINI SAB DE CV;MX;ACE;;1;NA;NA;8516;CA;;;2459.32;3;0;NA;20944;PROM;US;0;0;.679
8684;SELECCION LATAM;PINFRA* MM EQUITY;PROMOTORA Y OPERADORA DE INFRA;MX;ACE;;1;NA;NA;12845;CA;;;6078.11;3;0;NA;78073;PROM;US;0;0;2.532
8684;SELECCION LATAM;PARBRIC LX EQUITY;PARVEST EQUITY BRAZIL I;BR;CFME;;1;NA;NA;1543.4;CU;;;77578.89;3;0;NA;119735;PROM;US;0;0;3.884
8684;SELECCION LATAM;PAM US EQUITY;PAMPA SPON ADR;US;ADR;;1;NA;NA;300;CA;;;37593.32;3;0;NA;11278;PROM;US;0;0;.366
8684;SELECCION LATAM;OMAB MM EQUITY;GRUPO AEROPORTUARIO DEL CENT;MX;ACE;;1;NA;NA;18055;CA;;;2908.91;3;0;NA;52520;PROM;US;0;0;1.704
8684;SELECCION LATAM;MELI US EQUITY;MERCADOLIBRE INC;US;ADR;;1;NA;NA;400;CA;;;230302.87;3;0;NA;92121;PROM;US;0;0;2.988
8684;SELECCION LATAM;MELBECU ID EQUITY;BNY MELLON GLOBAL FUNDS PLC -B;IE;CFME;;1;NA;NA;260472.45;CU;;;757.86;3;0;NA;197402;PROM;US;0;0;6.403
8684;SELECCION LATAM;BMA US EQUITY;BANCO MACRO SA;AR;ADR;;1;NA;NA;200;CA;;;67143.23;3;0;NA;13429;PROM;US;0;0;.436
8684;SELECCION LATAM;ALAMEI2 LX EQUITY;ABERDEEN GLOBAL - LATIN AMERIC;LU;CFME;;1;NA;NA;55.12;CU;;;3091681.75;3;0;NA;170413;PROM;US;0;0;5.528
8684;SELECCION LATAM;LQD US EQUITY;iShare Investment Grade Corpor;US;ETFB;;1;NA;NA;1500;CA;;;69493.92;3;0;NA;104241;PROM;US;0;0;3.381
8684;SELECCION LATAM;ILF US EQUITY;ISHARES S&P LATIN AMERICA 40;BR;ETFA;;1;NA;NA;19250;CA;;;22349.42;3;0;NA;430226;PROM;US;0;0;13.955
8684;SELECCION LATAM;GRUMAB MM EQUITY;GRUMA S.A.B.;MX;ACE;;1;NA;NA;11720;CA;;;6884.84;3;0;NA;80690;PROM;US;0;0;2.617
8684;SELECCION LATAM;GGB US EQUITY;METALURGICA GERDAU S.A;BR;ADR;;1;NA;NA;22400;CA;;;2968.05;3;0;NA;66484;PROM;US;0;0;2.157
8684;SELECCION LATAM;GGAL US EQUITY;Grupo financiero Galicia S.A.;US;ADR;;1;NA;NA;1000;CA;;;37361.81;3;0;NA;37362;PROM;US;0;0;1.212
8684;SELECCION LATAM;GFREGIO MM EQUITY;BANREGIO GRUPO FINANCIERO S A;MX;ACE;;1;NA;NA;13773;CA;;;3668.95;3;0;NA;50532;PROM;US;0;0;1.639
8684;SELECCION LATAM;FLN US EQUITY;FIRST TRUST LATIN AMERICA;US;ETFA;;1;NA;NA;4300;CA;;;13213.76;3;0;NA;56819;PROM;US;0;0;1.843
8684;SELECCION LATAM;FLEFLCD LX EQUITY;JP Morgan funds - Latin Americ;LU;CFME;;1;NA;NA;3442.94;CU;;;20337.08;3;0;NA;70019;PROM;US;0;0;2.271
8684;SELECCION LATAM;FBZ US EQUITY;FIRST TRUST BRAZIL ALPHADEX FU;BR;ETFA;;1;NA;NA;3250;CA;;;10251.94;3;0;NA;33319;PROM;US;0;0;1.081
8684;SELECCION LATAM;EWZS US EQUITY;ISHARES MSCI BRAZIL SMALL CA;US;ETFA;;1;NA;NA;29700;CA;;;10459.41;3;0;NA;310644;PROM;US;0;0;10.076
8684;SELECCION LATAM;EWZ US EQUITY;ISHARES MSCI BRASIL INDEX FUND;BR;ETFA;;1;NA;NA;14700;CA;;;26997.38;3;0;NA;396861;PROM;US;0;0;12.873
8684;SELECCION LATAM;EWW US EQUITY;ISHARES MSCI MEXICO INDEX FUND;MX;ETFA;;1;NA;NA;1550;CA;;;29627.08;3;0;NA;45923;PROM;US;0;0;1.49
8684;SELECCION LATAM;EPU US EQUITY;ISHARES MSCI ALL PERU CAPPED;PE;ETFA;;1;NA;NA;3600;CA;;;24884.13;3;0;NA;89583;PROM;US;0;0;2.906
8684;SELECCION LATAM;ECH US EQUITY;ISHARE MSCI CHILE INVESTABLE;US;ETFA;;1;NA;NA;125;CA;;;31882.79;3;0;NA;3985;PROM;US;0;0;.129
8684;SELECCION LATAM;BRF US EQUITY;MARKET VECTORS BRAZIL SM-CAP;US;ETFA;;1;NA;NA;2000;CA;;;14585;3;0;NA;29170;PROM;US;0;0;.946
8707;SELECCION GLOBAL;YPF US EQUITY;YPF SOCIEDAD ANONIMA;AR;ADR;;1;NA;NA;2800;CA;;;13718.33;3;0;NA;38411;PROM;US;0;0;.099
8707;SELECCION GLOBAL;XLY US EQUITY;Consumer Discretionary Select;US;ETFA;;1;NA;NA;23500;CA;;;61776.99;3;0;NA;1451759;PROM;US;0;0;3.745
8707;SELECCION GLOBAL;XLV US EQUITY;HEALTH CARE SELECT SECTOR;US;ETFA;;1;NA;NA;9200;CA;;;49946.35;3;0;NA;459506;PROM;US;0;0;1.185
8707;SELECCION GLOBAL;XLRE US EQUITY;STATE STREET SPDR;US;ETFA;;1;NA;NA;6400;CA;;;17873.6;3;0;NA;114391;PROM;US;0;0;.295
8707;SELECCION GLOBAL;XLK US EQUITY;Technology Select Sector SPDR;US;ETFA;;1;NA;NA;78000;CA;;;40466.39;3;0;NA;3156378;PROM;US;0;0;8.142
8707;SELECCION GLOBAL;XLI US EQUITY;INDUSTRIAL SELECT SECTOR SPDR;US;ETFA;;1;NA;NA;10900;CA;;;45500.21;3;0;NA;495952;PROM;US;0;0;1.279
8707;SELECCION GLOBAL;XLF US EQUITY;Financial Select Sector SPDR;US;ETFA;;1;NA;NA;59100;CA;;;17137.52;3;0;NA;1012827;PROM;US;0;0;2.613
8707;SELECCION GLOBAL;XLE US EQUITY;Energy Select Sector SPDR;US;ETFA;;1;NA;NA;8300;CA;;;39617.53;3;0;NA;328825;PROM;US;0;0;.848
8707;SELECCION GLOBAL;XLB US EQUITY;MATERIALS SELECT SECTOR SPDR F;US;ETFA;;1;NA;NA;12000;CA;;;35396.96;3;0;NA;424764;PROM;US;0;0;1.096
8707;SELECCION GLOBAL;VGK US EQUITY;VANGUARD FTSE EUROPE ETF;US;ETFA;;1;NA;NA;17600;CA;;;34809.29;3;0;NA;612644;PROM;US;0;0;1.58
