Run Fondo;Nombre Fondo;FFM_6040111;FFM_6040112;FFM_6040113;FFM_6040114;FFM_6040115;FFM_6040116;FFM_6040200;FFM_6040300;FFM_6040400;FFM_6040500;FFM_6040600
8676;RENTA BONOS CHILE;UF;FORWARD;$$;07/09/2018;$$;CL;C;150000;.71;4177740;4169140
8676;RENTA BONOS CHILE;UF;FORWARD;$$;02/01/2019;$$;CL;V;30000;27424;822720;828853
8707;SELECCION GLOBAL;USD;FORWARD;$$;05/09/2018;$$;CL;V;709614;657.78;466770;482584
8707;SELECCION GLOBAL;USD;FORWARD;$$;05/09/2018;$$;CL;V;406386;659;267808;276369
8707;SELECCION GLOBAL;USD;FORWARD;$$;06/09/2018;$$;CL;C;1116000;678.8;757541;758941
8773;ESTRATEGIA CONSERVAD;USD;FORWARD;$$;06/09/2018;$$;CL;C;669000;678.8;454117;454959
8773;ESTRATEGIA CONSERVAD;USD;FORWARD;$$;05/09/2018;$$;CL;V;2341853;657.78;1540424;1592612
8773;ESTRATEGIA CONSERVAD;USD;FORWARD;$$;05/09/2018;$$;CL;V;1341147;659;883816;912067
8774;ESTRATEGIA EQUILIBRA;USD;FORWARD;PROM;05/09/2018;$$;CL;V;3319161;657.78;2183278;2257245
8774;ESTRATEGIA EQUILIBRA;USD;FORWARD;PROM;05/09/2018;$$;CL;V;1900839;659;1252653;1292694
8774;ESTRATEGIA EQUILIBRA;USD;FORWARD;PROM;06/09/2018;$$;CL;C;1211000;678.8;822027;823550
8775;ESTRATEGIA ACTIVA;USD;FORWARD;PROM;06/09/2018;$$;CL;C;737000;678.8;500276;501203
8775;ESTRATEGIA ACTIVA;USD;FORWARD;PROM;05/09/2018;$$;CL;V;2368558;657.78;1557990;1610773
8775;ESTRATEGIA ACTIVA;USD;FORWARD;PROM;05/09/2018;$$;CL;V;1356442;659;893895;922469
8915;USA;USD;FORWARD;PROM;06/09/2018;$$;CL;C;184000;678.8;124899;125131
8915;USA;USD;FORWARD;PROM;05/09/2018;$$;CL;V;116997;657.78;76958;79566
8915;USA;USD;FORWARD;PROM;05/09/2018;$$;CL;V;67003;659;44155;45566
9003;RENTA ACTIVA;UF;FORWARD;$$;07/09/2018;$$;CL;C;20000;.71;557032;555885
9003;RENTA ACTIVA;UF;FORWARD;$$;02/01/2019;$$;CL;V;10000;27424;274240;276284
9084;RENTA LOCAL UF;UF;FORWARD;$$;02/01/2019;$$;CL;V;10000;27424;274240;276284
9084;RENTA LOCAL UF;UF;FORWARD;$$;07/09/2018;$$;CL;C;20000;.71;557032;555885
9106;RENTA CORTO PLAZO;UF;FORWARD;$$;08/01/2019;$$;CL;V;60000;27447;1646820;1658044
9106;RENTA CORTO PLAZO;UF;FORWARD;$$;01/10/2018;$$;CL;V;50000;27267;1363350;1368372
9145;RENTA NOMINAL CHILE;UF;FORWARD;$$;07/09/2018;$$;CL;C;10000;.71;278516;277943
9473;MULTIACTIVO AGRESIVO;USD;FORWARD;$$;06/09/2018;$$;CL;C;41814000;678.8;28383343;28435945
9473;MULTIACTIVO AGRESIVO;USD;FORWARD;$$;05/09/2018;$$;CL;V;52250081;657.78;34369058;35533451
9473;MULTIACTIVO AGRESIVO;USD;FORWARD;$$;05/09/2018;$$;CL;V;29922919;659;19719204;20349530
9474;MULTIACTIVO MODERADO;USD;FORWARD;PROM;05/09/2018;$$;CL;V;5893736;657.78;3876782;4008124
9474;MULTIACTIVO MODERADO;USD;FORWARD;PROM;05/09/2018;$$;CL;V;3375264;659;2224299;2295399
9474;MULTIACTIVO MODERADO;USD;FORWARD;PROM;06/09/2018;$$;CL;C;3087000;678.8;2095456;2099339
8363;RENTA A PLAZO;UF;FORWARD;$$;09/05/2019;UF;CL;C;250000;27854;6963500;6968501
8363;RENTA A PLAZO;UF;FORWARD;$$;09/05/2019;UF;CL;C;250000;27700;6925000;6967778
8411;RENDIMIENTO NOMINAL;UF;FORWARD;$$;08/02/2019;UF;CL;V;85000;27586;2344810;2351700
8411;RENDIMIENTO NOMINAL;UF;FORWARD;$$;08/02/2019;UF;CL;C;85000;27589;2345065;2351703
8411;RENDIMIENTO NOMINAL;UF;FORWARD;$$;09/05/2019;UF;CL;C;50000;27689;1384450;1393545
8456;EUROAMERICA EUROPA;EUR;FORWARD;PROM;11/09/2018;EUR;CL;V;850000;802.04;681734;671810
8629;EUROAMERICA DOLAR;PROM;FORWARD;$$;06/09/2018;PROM;CL;V;500000;645.4;478;504
8629;EUROAMERICA DOLAR;PROM;FORWARD;$$;10/10/2018;PROM;CL;C;1000000;673.84;998;1006
