Run Fondo;Nombre Fondo;FFM_6040111;FFM_6040112;FFM_6040113;FFM_6040114;FFM_6040115;FFM_6040116;FFM_6040200;FFM_6040300;FFM_6040400;FFM_6040500;FFM_6040600
8676;RENTA BONOS CHILE;UF;FORWARD;$$;02/01/2019;$$;CL;V;30000;27424;822720;826647
8676;RENTA BONOS CHILE;UF;FORWARD;$$;19/06/2018;$$;CL;V;66000;27311;1802526;1790243
9003;RENTA ACTIVA;UF;FORWARD;$$;02/01/2019;$$;CL;V;10000;27424;274240;275549
9084;RENTA LOCAL UF;UF;FORWARD;$$;02/01/2019;$$;CL;V;10000;27424;274240;275549
9084;RENTA LOCAL UF;UF;FORWARD;$$;03/07/2018;$$;CL;V;21000;27173;570633;570300
9084;RENTA LOCAL UF;UF;FORWARD;$$;19/06/2018;$$;CL;V;14000;27311;382354;379748
9106;RENTA CORTO PLAZO;UF;FORWARD;$$;03/07/2018;$$;CL;V;50000;27081;1354050;1357858
9106;RENTA CORTO PLAZO;UF;FORWARD;$$;01/06/2018;$$;CL;V;15000;27037;405555;406214
9106;RENTA CORTO PLAZO;UF;FORWARD;$$;08/01/2019;$$;CL;V;60000;27447;1646820;1653556
9106;RENTA CORTO PLAZO;UF;FORWARD;$$;03/07/2018;$$;CL;V;56000;27138;1519728;1520801
9106;RENTA CORTO PLAZO;UF;FORWARD;$$;03/07/2018;$$;CL;V;50000;27157;1357850;1357858
9106;RENTA CORTO PLAZO;UF;FORWARD;$$;01/10/2018;$$;CL;V;50000;27267;1363350;1367649
9106;RENTA CORTO PLAZO;UF;FORWARD;$$;01/06/2018;$$;CL;V;50000;26922;1346100;1354047
9106;RENTA CORTO PLAZO;UF;FORWARD;$$;03/07/2018;$$;CL;V;22000;27173;597806;597458
9106;RENTA CORTO PLAZO;UF;FORWARD;$$;01/06/2018;$$;CL;V;40000;27254;1090160;1083238
9145;RENTA NOMINAL CHILE;UF;FORWARD;$$;01/06/2018;$$;CL;V;50000;26922;1346100;1354047
9474;MULTIACTIVO MODERADO;USD;FORWARD;$$;06/06/2018;$$;CL;V;10845000;628.1;6811745;6844974
8363;RENTA A PLAZO;UF;FORWARD;$$;09/05/2019;UF;CL;C;250000;27700;6925000;6955959
8411;RENDIMIENTO NOMINAL;UF;FORWARD;$$;09/05/2019;UF;CL;C;50000;27689;1384450;1391178
8456;EUROAMERICA EUROPA;EUR;FORWARD;PROM;11/09/2018;EUR;CL;V;850000;744.07;632460;632127
8629;EUROAMERICA DOLAR;PROM;FORWARD;$$;11/06/2018;PROM;CL;C;1000000;621.55;989;1005
8629;EUROAMERICA DOLAR;PROM;FORWARD;$$;06/07/2018;PROM;CL;C;2000000;631.4;2010;2009
8629;EUROAMERICA DOLAR;PROM;FORWARD;$$;29/06/2018;PROM;CL;C;800000;624.94;796;804
8629;EUROAMERICA DOLAR;PROM;FORWARD;$$;22/06/2018;PROM;CL;C;500000;625.84;498;502
8629;EUROAMERICA DOLAR;PROM;FORWARD;$$;29/06/2018;PROM;CL;C;900000;631.39;904;904
8629;EUROAMERICA DOLAR;PROM;FORWARD;$$;28/06/2018;PROM;CL;C;1000000;632.25;1006;1005
8629;EUROAMERICA DOLAR;PROM;FORWARD;$$;29/06/2018;PROM;CL;C;2000000;631.68;2011;2009
8629;EUROAMERICA DOLAR;PROM;FORWARD;$$;10/07/2018;PROM;CL;C;2200000;633.36;2218;2210
8629;EUROAMERICA DOLAR;PROM;FORWARD;$$;01/06/2018;PROM;CL;C;2000000;632.01;2012;2009
8629;EUROAMERICA DOLAR;PROM;FORWARD;$$;06/06/2018;PROM;CL;C;1000000;619.01;985;1005
8629;EUROAMERICA DOLAR;PROM;FORWARD;$$;14/06/2018;PROM;CL;C;1000000;625.45;995;1005
8629;EUROAMERICA DOLAR;PROM;FORWARD;$$;15/06/2018;PROM;CL;C;1000000;624.71;994;1005
8694;PROYECCION A;PROM;FORWARD;$$;05/11/2018;PROM;CL;V;2000000;607.43;1214860;1262383
8694;PROYECCION A;PROM;FORWARD;$$;03/04/2019;PROM;CL;V;3100000;605.1;1875810;1957442
8694;PROYECCION A;PROM;FORWARD;$$;21/03/2019;PROM;CL;V;3000000;611.85;1835550;1894635
8694;PROYECCION A;PROM;FORWARD;$$;19/12/2018;PROM;CL;V;6000000;609.1;3654600;3787350
8694;PROYECCION A;EUR;FORWARD;$$;11/09/2018;EUR;CL;V;125000;756.46;94558;92967
8695;PROYECCION C;PROM;FORWARD;$$;05/11/2018;PROM;CL;V;2000000;607.43;1214860;1262383
8695;PROYECCION C;PROM;FORWARD;$$;03/04/2019;PROM;CL;V;3100000;605.1;1875810;1957442
8695;PROYECCION C;PROM;FORWARD;$$;21/03/2019;PROM;CL;V;3000000;611.85;1835550;1894635
8695;PROYECCION C;PROM;FORWARD;$$;19/12/2018;PROM;CL;V;6300000;609.1;3837330;3976717
8695;PROYECCION C;EUR;FORWARD;$$;11/09/2018;EUR;CL;V;125000;756.46;94558;92967
8696;PROYECCION E;PROM;FORWARD;$$;20/06/2018;PROM;CL;V;3000000;596.4;1789200;1893496
8696;PROYECCION E;UF;FORWARD;$$;09/05/2019;UF;CL;C;200000;27691;5538200;5564721
8696;PROYECCION E;UF;FORWARD;$$;09/05/2019;UF;CL;C;150000;27689;4153350;4173533
8805;GESTION CONSERVADORA;PROM;FORWARD;$$;19/12/2018;PROM;CL;V;1700000;605.41;1029197;1072992
8805;GESTION CONSERVADORA;PROM;FORWARD;$$;19/12/2018;PROM;CL;V;310000;618.69;191794;195723
9162;LATAM LOC CURR DEBT;PROM;FORWARD;COP;26/06/2018;PROM;CO;V;900000;617.7;881;901
9162;LATAM LOC CURR DEBT;PROM;FORWARD;MXN;31/08/2018;PROM;CL;V;500000;607.19;481;507
9162;LATAM LOC CURR DEBT;PROM;FORWARD;MXN;28/06/2018;PROM;CL;C;1100000;632.86;1103;1106
8097;EUROPE EQUITY;PROM;FORWARD;$$;08/06/2018;PROM;CL;C;5000000;624.55;3122750;3155795
8097;EUROPE EQUITY;PROM;FORWARD;$$;08/06/2018;PROM;CL;V;5000000;638;3190000;3155795
8251;LIFETIME 2020;PROM;FORWARD;$$;29/06/2018;PROM;CL;V;2200000;631.4;1389080;1388455
8251;LIFETIME 2020;PROM;FORWARD;$$;20/06/2018;PROM;CL;V;300000;636.32;190896;189340
8251;LIFETIME 2020;PROM;FORWARD;$$;19/06/2018;PROM;CL;V;20000;633.25;12665;12623
8251;LIFETIME 2020;PROM;FORWARD;$$;12/06/2018;PROM;CL;V;1250000;634.13;792663;788936
8251;LIFETIME 2020;PROM;FORWARD;$$;12/06/2018;PROM;CL;V;1900000;631.9;1200610;1199183
8251;LIFETIME 2020;PROM;FORWARD;$$;01/06/2018;PROM;CL;V;2200000;617.25;1357950;1388838
8251;LIFETIME 2020;PROM;FORWARD;$$;08/06/2018;PROM;CL;V;1250000;638;797500;788949
8252;LIFETIME 2030;PROM;FORWARD;$$;08/06/2018;PROM;CL;V;1250000;638;797500;788949
8252;LIFETIME 2030;PROM;FORWARD;$$;01/06/2018;PROM;CL;V;2450000;617.25;1512263;1546661
8252;LIFETIME 2030;PROM;FORWARD;$$;12/06/2018;PROM;CL;V;3100000;631.9;1958890;1956562
8252;LIFETIME 2030;PROM;FORWARD;$$;12/06/2018;PROM;CL;V;1250000;634.13;792663;788936
8252;LIFETIME 2030;PROM;FORWARD;$$;19/06/2018;PROM;CL;V;400000;633.25;253300;252454
8252;LIFETIME 2030;PROM;FORWARD;$$;20/06/2018;PROM;CL;V;450000;636.32;286344;284009
8252;LIFETIME 2030;PROM;FORWARD;$$;29/06/2018;PROM;CL;V;2450000;631.4;1546930;1546234
8600;LIFETIME 2040;PROM;FORWARD;$$;29/06/2018;PROM;CL;V;2550000;631.4;1610070;1609346
8600;LIFETIME 2040;PROM;FORWARD;$$;20/06/2018;PROM;CL;V;500000;636.32;318160;315566
8600;LIFETIME 2040;PROM;FORWARD;$$;19/06/2018;PROM;CL;V;600000;633.25;379950;378680
8600;LIFETIME 2040;PROM;FORWARD;$$;12/06/2018;PROM;CL;V;1250000;634.13;792663;788936
8600;LIFETIME 2040;PROM;FORWARD;$$;12/06/2018;PROM;CL;V;2300000;631.9;1453370;1451643
8600;LIFETIME 2040;PROM;FORWARD;$$;01/06/2018;PROM;CL;V;2550000;617.25;1573988;1609790
8600;LIFETIME 2040;PROM;FORWARD;$$;08/06/2018;PROM;CL;V;1250000;638;797500;788949
8619;RENTA EMERGENTE;PROM;FORWARD;$$;08/06/2018;PROM;CL;C;1500000;624.55;936825;946739
8619;RENTA EMERGENTE;PROM;FORWARD;$$;08/06/2018;PROM;CL;V;1500000;638;957000;946739
8824;GESTION ESTRATEGICA;PROM;FORWARD;$$;29/06/2018;PROM;CL;V;1000000;631.4;631400;631116
8824;GESTION ESTRATEGICA;PROM;FORWARD;$$;20/06/2018;PROM;CL;V;2300000;636.32;1463536;1451604
8824;GESTION ESTRATEGICA;PROM;FORWARD;$$;19/06/2018;PROM;CL;V;1200000;633.25;759900;757361
8824;GESTION ESTRATEGICA;PROM;FORWARD;$$;12/06/2018;PROM;CL;V;3300000;634.13;2092629;2082792
8824;GESTION ESTRATEGICA;PROM;FORWARD;$$;08/06/2018;PROM;CL;V;3300000;638;2105400;2082825
8824;GESTION ESTRATEGICA;PROM;FORWARD;$$;01/06/2018;PROM;CL;V;1000000;617.25;617250;631290
8825;GESTION ESTRATEGICA;PROM;FORWARD;$$;29/06/2018;PROM;CL;V;600000;631.4;378840;378670
8825;GESTION ESTRATEGICA;PROM;FORWARD;$$;01/06/2018;PROM;CL;V;600000;617.25;370350;378774
8825;GESTION ESTRATEGICA;PROM;FORWARD;$$;08/06/2018;PROM;CL;V;1700000;638;1084600;1072970
8825;GESTION ESTRATEGICA;PROM;FORWARD;$$;12/06/2018;PROM;CL;V;1700000;634.13;1078021;1072953
8825;GESTION ESTRATEGICA;PROM;FORWARD;$$;19/06/2018;PROM;CL;V;300000;633.25;189975;189340
8825;GESTION ESTRATEGICA;PROM;FORWARD;$$;20/06/2018;PROM;CL;V;900000;636.32;572688;568019
8826;GESTION ESTRATEGICA;PROM;FORWARD;$$;29/06/2018;PROM;CL;V;1000000;631.4;631400;631116
8826;GESTION ESTRATEGICA;PROM;FORWARD;$$;20/06/2018;PROM;CL;V;1100000;636.32;699952;694245
8826;GESTION ESTRATEGICA;PROM;FORWARD;$$;19/06/2018;PROM;CL;V;700000;633.25;443275;441794
8826;GESTION ESTRATEGICA;PROM;FORWARD;$$;12/06/2018;PROM;CL;V;3150000;634.13;1997510;1988119
8826;GESTION ESTRATEGICA;PROM;FORWARD;$$;08/06/2018;PROM;CL;V;3150000;638;2009700;1988151
8826;GESTION ESTRATEGICA;PROM;FORWARD;$$;01/06/2018;PROM;CL;V;1000000;617.25;617250;631290
8827;GESTION ESTRATEGICA;PROM;FORWARD;$$;01/06/2018;PROM;CL;V;2500000;617.25;1543125;1578225
8827;GESTION ESTRATEGICA;PROM;FORWARD;$$;08/06/2018;PROM;CL;V;2050000;638;1307900;1293876
8827;GESTION ESTRATEGICA;PROM;FORWARD;$$;12/06/2018;PROM;CL;V;2050000;634.13;1299967;1293855
8827;GESTION ESTRATEGICA;PROM;FORWARD;$$;19/06/2018;PROM;CL;V;30000;633.25;18998;18934
8827;GESTION ESTRATEGICA;PROM;FORWARD;$$;20/06/2018;PROM;CL;V;530000;636.32;337250;334500
8827;GESTION ESTRATEGICA;PROM;FORWARD;$$;29/06/2018;PROM;CL;V;2500000;631.4;1578500;1577790
9450;GLOBAL INCOME;PROM;FORWARD;$$;08/06/2018;PROM;CL;V;100000;638;63800;63116
8032;BICE EST BALANCEADA;PROM;FORWARD;$$;25/07/2018;$$;CL;V;3700000;602.88;2230656;2335033
8032;BICE EST BALANCEADA;PROM;FORWARD;$$;12/11/2018;$$;CL;V;6400000;618.25;3956800;4039808
8032;BICE EST BALANCEADA;PROM;FORWARD;$$;06/08/2018;$$;CL;V;6400000;620.5;3971200;4038912
8032;BICE EST BALANCEADA;PROM;FORWARD;$$;13/06/2018;$$;CL;V;680000;649.49;441653;429182
8114;BICE ACCIONES EUROPA;PROM;FORWARD;$$;12/11/2018;$$;CL;V;430000;618.25;265848;271425
8178;BICE ACCIONES ASIA;PROM;FORWARD;$$;12/11/2018;$$;CL;V;415000;618.25;256574;261956
8183;BICE NORTEAMERICA;PROM;FORWARD;$$;25/07/2018;$$;CL;V;2700000;602.88;1627776;1703943
8183;BICE NORTEAMERICA;PROM;FORWARD;$$;03/10/2018;$$;CL;V;3600000;605.35;2179260;2272068
8183;BICE NORTEAMERICA;PROM;FORWARD;$$;03/10/2018;$$;CL;V;3600000;605.35;2179260;2272068
8183;BICE NORTEAMERICA;PROM;FORWARD;$$;03/10/2018;$$;CL;V;3600000;605.35;2179260;2272068
8183;BICE NORTEAMERICA;PROM;FORWARD;$$;03/10/2018;$$;CL;V;3600000;605.35;2179260;2272068
8183;BICE NORTEAMERICA;PROM;FORWARD;$$;02/08/2018;$$;CL;V;2100000;605.95;1272495;1325268
8183;BICE NORTEAMERICA;PROM;FORWARD;$$;02/08/2018;$$;CL;V;7200000;590.61;4252392;4543776
8183;BICE NORTEAMERICA;PROM;FORWARD;$$;02/08/2018;$$;CL;V;2090000;590.61;1234375;1318957
8183;BICE NORTEAMERICA;PROM;FORWARD;$$;02/08/2018;$$;CL;V;2090000;590.61;1234375;1318957
8183;BICE NORTEAMERICA;PROM;FORWARD;$$;26/07/2018;$$;CL;V;5500000;590.56;3248080;3470995
8183;BICE NORTEAMERICA;PROM;FORWARD;$$;18/07/2018;$$;CL;V;2115000;590.51;1248929;1334755
8183;BICE NORTEAMERICA;PROM;FORWARD;$$;13/06/2018;$$;CL;V;1700000;590.29;1003493;1072955
8183;BICE NORTEAMERICA;PROM;FORWARD;$$;13/06/2018;$$;CL;V;1700000;590.29;1003493;1072955
8183;BICE NORTEAMERICA;PROM;FORWARD;$$;07/06/2018;$$;CL;V;1700000;590.21;1003357;1072972
8183;BICE NORTEAMERICA;PROM;FORWARD;$$;28/11/2018;$$;CL;V;1900000;627.38;1192022;1199432
8183;BICE NORTEAMERICA;PROM;FORWARD;$$;25/09/2018;$$;CL;V;2700000;607.31;1639737;1703997
8183;BICE NORTEAMERICA;PROM;FORWARD;$$;14/08/2018;$$;CL;V;2405000;607.99;1462216;1517747
8183;BICE NORTEAMERICA;PROM;FORWARD;$$;14/08/2018;$$;CL;V;3000000;607.99;1823970;1893240
8183;BICE NORTEAMERICA;PROM;FORWARD;$$;14/08/2018;$$;CL;V;3000000;607.99;1823970;1893240
8183;BICE NORTEAMERICA;PROM;FORWARD;$$;14/08/2018;$$;CL;V;3000000;607.99;1823970;1893240
