Run Fondo;Nombre Fondo;FFM_6040111;FFM_6040112;FFM_6040113;FFM_6040114;FFM_6040115;FFM_6040116;FFM_6040200;FFM_6040300;FFM_6040400;FFM_6040500;FFM_6040600
8676;RENTA BONOS CHILE;UF;FORWARD;$$;19/06/2018;$$;CL;V;66000;27311;1802526;1790829
8684;SELECCION LATAM;USD;FORWARD;PROM;07/03/2018;$$;CL;V;103000;590.1;60780;61152
8707;SELECCION GLOBAL;USD;FORWARD;$$;07/03/2018;$$;CL;V;2836000;590.1;1673524;1683478
8773;ESTRATEGIA CONSERVAD;USD;FORWARD;$$;07/03/2018;$$;CL;V;5628000;590.1;3321083;3341417
8774;ESTRATEGIA EQUILIBRA;USD;FORWARD;$$;07/03/2018;$$;CL;V;7324000;590.1;4321892;4348354
8775;ESTRATEGIA ACTIVA;USD;FORWARD;$$;07/03/2018;$$;CL;V;5955000;590.1;3514046;3535561
8776;RENTA INTERNACIONAL;USD;FORWARD;$$;07/03/2018;$$;CL;V;152000;590.1;89695;90244
8915;USA;USD;FORWARD;$$;07/03/2018;$$;CL;V;393000;590.1;231909;233329
8916;EMERGENTES;USD;FORWARD;$$;07/03/2018;$$;CL;V;260000;590.1;153426;154365
8980;ASIA EMERGENTE;USD;FORWARD;$$;07/03/2018;$$;CL;V;248000;590.1;146345;147241
9003;RENTA ACTIVA;UF;FORWARD;$$;02/04/2018;$$;CL;V;80000;26900;2152000;2159278
9084;RENTA LOCAL UF;UF;FORWARD;$$;03/07/2018;$$;CL;V;21000;27173;570633;570151
9084;RENTA LOCAL UF;UF;FORWARD;$$;02/04/2018;$$;CL;V;54000;26951;1455354;1457512
9084;RENTA LOCAL UF;UF;FORWARD;$$;19/06/2018;$$;CL;V;14000;27311;382354;379873
9106;RENTA CORTO PLAZO;UF;FORWARD;$$;03/07/2018;$$;CL;V;50000;27157;1357850;1357501
9106;RENTA CORTO PLAZO;UF;FORWARD;$$;01/10/2018;$$;CL;V;50000;27267;1363350;1364537
9106;RENTA CORTO PLAZO;UF;FORWARD;$$;01/06/2018;$$;CL;V;50000;26922;1346100;1355606
9106;RENTA CORTO PLAZO;UF;FORWARD;$$;02/04/2018;$$;CL;V;10000;26900;269000;269910
9106;RENTA CORTO PLAZO;UF;FORWARD;$$;03/07/2018;$$;CL;V;22000;27173;597806;597301
9106;RENTA CORTO PLAZO;UF;FORWARD;$$;01/06/2018;$$;CL;V;40000;27254;1090160;1084485
9145;RENTA NOMINAL CHILE;UF;FORWARD;$$;01/06/2018;$$;CL;V;50000;26922;1346100;1355606
9145;RENTA NOMINAL CHILE;UF;FORWARD;$$;02/04/2018;$$;CL;V;14000;26951;377314;377874
9145;RENTA NOMINAL CHILE;UF;FORWARD;$$;02/04/2018;$$;CL;V;10000;26900;269000;269910
9473;MULTIACTIVO AGRESIVO;USD;FORWARD;$$;07/03/2018;$$;CL;V;35930000;590.1;21202293;21328407
9474;MULTIACTIVO MODERADO;USD;FORWARD;$$;07/03/2018;$$;CL;V;9029000;590.1;5328013;5359705
8363;RENTA A PLAZO;UF;FORWARD;$$;28/05/2018;UF;CL;V;100000;27042;2704200;2710663
8363;RENTA A PLAZO;UF;FORWARD;$$;14/05/2018;UF;CL;V;80000;26982;2158560;2167099
8411;RENDIMIENTO NOMINAL;UF;FORWARD;$$;09/05/2019;UF;CL;C;50000;27689;1384450;1384498
8459;EUROAMERICA M.MARKET;UF;FORWARD;$$;12/03/2018;UF;CL;V;40000;26885;1075400;1078793
8694;PROYECCION A;PROM;FORWARD;$$;19/12/2018;PROM;CL;V;6000000;609.1;3654600;3577842
8694;PROYECCION A;PROM;FORWARD;$$;03/04/2018;PROM;CL;V;3060000;602.97;1845088;1817405
8695;PROYECCION C;PROM;FORWARD;$$;03/04/2018;PROM;CL;V;3040000;602.97;1833029;1805526
8695;PROYECCION C;PROM;FORWARD;$$;19/12/2018;PROM;CL;V;6300000;609.1;3837330;3756734
8696;PROYECCION E;UF;FORWARD;$$;09/03/2018;$$;CL;C;50000;1.82;1324943;1328043
8696;PROYECCION E;UF;FORWARD;$$;09/03/2018;$$;CL;C;50000;1.83;1323994;1328037
8696;PROYECCION E;$$;FORWARD;$$;09/03/2018;$$;CL;V;1300000000;4.55;1328820;1329470
8696;PROYECCION E;$$;FORWARD;$$;09/03/2018;$$;CL;V;1300000000;4.57;1327092;1326052
8696;PROYECCION E;PROM;FORWARD;$$;18/04/2018;PROM;CL;V;2000000;606.6;1213200;1188102
8696;PROYECCION E;PROM;FORWARD;$$;21/03/2018;PROM;CL;V;2500000;605.55;1513875;1484569
8696;PROYECCION E;UF;FORWARD;$$;09/05/2019;UF;CL;C;150000;27689;4153350;4153494
8696;PROYECCION E;UF;FORWARD;$$;09/05/2019;UF;CL;C;200000;27691;5538200;5538008
8805;GESTION CONSERVADORA;PROM;FORWARD;$$;19/12/2018;PROM;CL;V;1700000;605.41;1029197;1013573
9162;LATAM LOC CURR DEBT;PROM;FORWARD;MXN;31/08/2018;PROM;CL;V;500000;604.43;509;515
9162;LATAM LOC CURR DEBT;COP;FORWARD;PROM;15/03/2018;PROM;CO;C;1500000000;98.8;514;513
8251;LIFETIME 2020;PROM;FORWARD;$$;28/03/2018;PROM;CL;V;400000;589.08;235632;237544
8251;LIFETIME 2020;PROM;FORWARD;$$;23/03/2018;PROM;CL;V;150000;594.15;89123;89074
8251;LIFETIME 2020;PROM;FORWARD;$$;21/03/2018;PROM;CL;V;220000;594.45;130779;130638
8251;LIFETIME 2020;PROM;FORWARD;$$;16/03/2018;PROM;CL;V;500000;592.03;296015;296888
8251;LIFETIME 2020;PROM;FORWARD;$$;14/03/2018;PROM;CL;V;1400000;598.8;838320;831265
8251;LIFETIME 2020;PROM;FORWARD;$$;12/03/2018;PROM;CL;V;2500000;603.62;1509050;1484368
8251;LIFETIME 2020;PROM;FORWARD;$$;08/03/2018;PROM;CL;V;2000000;600.23;1200460;1187440
8252;LIFETIME 2030;PROM;FORWARD;$$;08/03/2018;PROM;CL;V;1800000;600.23;1080414;1068696
8252;LIFETIME 2030;PROM;FORWARD;$$;12/03/2018;PROM;CL;V;2600000;603.62;1569412;1543742
8252;LIFETIME 2030;PROM;FORWARD;$$;14/03/2018;PROM;CL;V;1950000;598.8;1167660;1157834
8252;LIFETIME 2030;PROM;FORWARD;$$;16/03/2018;PROM;CL;V;600000;592.03;355218;356265
8252;LIFETIME 2030;PROM;FORWARD;$$;21/03/2018;PROM;CL;V;500000;594.45;297225;296905
8252;LIFETIME 2030;PROM;FORWARD;$$;23/03/2018;PROM;CL;V;250000;594.15;148538;148456
8252;LIFETIME 2030;PROM;FORWARD;$$;28/03/2018;PROM;CL;V;700000;589.08;412356;415701
8600;LIFETIME 2040;PROM;FORWARD;$$;28/03/2018;PROM;CL;V;800000;589.08;471264;475087
8600;LIFETIME 2040;PROM;FORWARD;$$;23/03/2018;PROM;CL;V;270000;594.15;160421;160332
8600;LIFETIME 2040;PROM;FORWARD;$$;21/03/2018;PROM;CL;V;600000;594.45;356670;356286
8600;LIFETIME 2040;PROM;FORWARD;$$;16/03/2018;PROM;CL;V;575000;592.03;340417;341421
8600;LIFETIME 2040;PROM;FORWARD;$$;14/03/2018;PROM;CL;V;1250000;598.8;748500;742201
8600;LIFETIME 2040;PROM;FORWARD;$$;12/03/2018;PROM;CL;V;2200000;603.62;1327964;1306243
8600;LIFETIME 2040;PROM;FORWARD;$$;08/03/2018;PROM;CL;V;1800000;600.23;1080414;1068696
8824;GESTION ESTRATEGICA;PROM;FORWARD;$$;23/03/2018;PROM;CL;V;1000000;594.15;594150;593824
8824;GESTION ESTRATEGICA;PROM;FORWARD;$$;21/03/2018;PROM;CL;V;1200000;594.45;713340;712572
8824;GESTION ESTRATEGICA;PROM;FORWARD;$$;16/03/2018;PROM;CL;V;1400000;592.03;828842;831285
8824;GESTION ESTRATEGICA;PROM;FORWARD;$$;14/03/2018;PROM;CL;V;4500000;598.8;2694600;2671925
8824;GESTION ESTRATEGICA;PROM;FORWARD;$$;12/03/2018;PROM;CL;V;500000;603.62;301810;296874
8824;GESTION ESTRATEGICA;PROM;FORWARD;$$;08/03/2018;PROM;CL;V;450000;600.23;270104;267174
8825;GESTION ESTRATEGICA;PROM;FORWARD;$$;08/03/2018;PROM;CL;V;350000;600.23;210081;207802
8825;GESTION ESTRATEGICA;PROM;FORWARD;$$;12/03/2018;PROM;CL;V;130000;603.62;78471;77187
8825;GESTION ESTRATEGICA;PROM;FORWARD;$$;14/03/2018;PROM;CL;V;2200000;598.8;1317360;1306274
