Run Fondo;Nombre Fondo;FFM_6040111;FFM_6040112;FFM_6040113;FFM_6040114;FFM_6040115;FFM_6040116;FFM_6040200;FFM_6040300;FFM_6040400;FFM_6040500;FFM_6040600
8676;RENTA BONOS CHILE;UF;SWAP;$$;21/12/2020;$$;CL;V;135000;.88;3734755;3722498
8676;RENTA BONOS CHILE;$$;SWAP;$$;21/10/2019;$$;CL;V;2500000000;3.23;2513973;2520044
8676;RENTA BONOS CHILE;UF;FORWARD;$$;03/06/2019;$$;CL;V;25000;27698;692450;689145
8676;RENTA BONOS CHILE;UF;FORWARD;$$;02/01/2019;$$;CL;V;30000;27424;822720;826974
8773;ESTRATEGIA CONSERVAD;USD;FORWARD;PROM;02/01/2019;$$;CL;V;2339000;692.5;1619758;1625067
8774;ESTRATEGIA EQUILIBRA;USD;FORWARD;$$;02/01/2019;$$;CL;V;3484000;692.5;2412670;2420579
8775;ESTRATEGIA ACTIVA;USD;FORWARD;$$;02/01/2019;$$;CL;V;2151000;692.5;1489568;1494450
9003;RENTA ACTIVA;UF;FORWARD;$$;02/05/2019;$$;CL;V;5500;27698;152339;151612
9003;RENTA ACTIVA;UF;FORWARD;$$;02/01/2019;$$;CL;V;10000;27424;274240;275658
9084;RENTA LOCAL UF;UF;FORWARD;$$;02/01/2019;$$;CL;V;10000;27424;274240;275658
9106;RENTA CORTO PLAZO;UF;FORWARD;UF;08/01/2019;$$;CL;V;60000;27447;1646820;1653947
9145;RENTA NOMINAL CHILE;UF;SWAP;$$;21/12/2020;$$;CL;V;15000;.88;414973;413611
9145;RENTA NOMINAL CHILE;UF;FORWARD;$$;03/06/2019;$$;CL;V;11000;27698;304678;303224
9145;RENTA NOMINAL CHILE;UF;FORWARD;$$;02/05/2019;$$;CL;V;30000;27698;830940;826974
9145;RENTA NOMINAL CHILE;UF;FORWARD;$$;19/11/2019;$$;CL;V;24000;28260;678240;661579
9473;MULTIACTIVO AGRESIVO;USD;FORWARD;$$;02/01/2019;$$;CL;V;26633000;692.5;18443353;18503809
9474;MULTIACTIVO MODERADO;USD;FORWARD;PROM;02/01/2019;$$;CL;V;5167000;692.5;3578148;3589877
9564;MULTIACT CONSERVADOR;$$;SWAP;$$;17/10/2033;$$;CL;V;1500000000;4.27;15132757;15010294
9564;MULTIACT CONSERVADOR;$$;SWAP;$$;09/11/2033;$$;CL;V;5000000000;4.34;5093362;5008400
9564;MULTIACT CONSERVADOR;UF;SWAP;$$;29/11/2022;$$;CL;V;300000;.94;8300258;8275728
9564;MULTIACT CONSERVADOR;$$;SWAP;$$;27/05/2019;$$;CL;V;1500000000;2.98;15038968;15048083
9564;MULTIACT CONSERVADOR;$$;SWAP;$$;27/11/2019;$$;CL;V;1000000000;3.22;10025979;10043169
9564;MULTIACT CONSERVADOR;$$;SWAP;$$;21/10/2019;$$;CL;V;1000000000;3.23;1005589;1008018
9564;MULTIACT CONSERVADOR;$$;SWAP;$$;05/04/2019;$$;CL;V;500000000;2.87;503284;503489
9564;MULTIACT CONSERVADOR;UF;FORWARD;$$;03/01/2019;$$;CL;V;726000;27566;20012916;20012764
9564;MULTIACT CONSERVADOR;UF;FORWARD;$$;19/11/2019;$$;CL;V;36000;28260;1017360;992368
8363;RENTA A PLAZO;UF;FORWARD;$$;08/02/2019;UF;CL;V;300000;27546;8263800;8262902
8363;RENTA A PLAZO;UF;FORWARD;$$;07/02/2020;UF;CL;C;300000;28540;8562000;8492957
8363;RENTA A PLAZO;UF;FORWARD;$$;09/05/2019;UF;CL;C;250000;27854;6963500;6910010
8363;RENTA A PLAZO;UF;FORWARD;$$;09/05/2019;UF;CL;C;250000;27700;6925000;6909615
8411;RENDIMIENTO NOMINAL;UF;FORWARD;$$;08/02/2019;UF;CL;V;85000;27586;2344810;2341166
8411;RENDIMIENTO NOMINAL;UF;FORWARD;$$;08/02/2019;UF;CL;C;85000;27589;2345065;2341167
8411;RENDIMIENTO NOMINAL;UF;FORWARD;$$;09/05/2019;UF;CL;C;50000;27689;1384450;1381917
8629;EUROAMERICA DOLAR;PROM;FORWARD;$$;09/01/2019;PROM;CL;C;500000;690.51;497;500
8629;EUROAMERICA DOLAR;PROM;FORWARD;$$;17/01/2019;PROM;CL;C;1500000;689.28;1488;1499
8629;EUROAMERICA DOLAR;PROM;FORWARD;$$;14/01/2019;PROM;CL;C;1000000;689.57;993;1000
