Run Fondo;Nombre Fondo;FFM_6040111;FFM_6040112;FFM_6040113;FFM_6040114;FFM_6040115;FFM_6040116;FFM_6040200;FFM_6040300;FFM_6040400;FFM_6040500;FFM_6040600
8676;RENTA BONOS CHILE;UF;SWAP;$$;21/12/2020;$$;CL;V;135000;.88;3742278;3742327
8676;RENTA BONOS CHILE;UF;FORWARD;$$;03/06/2019;$$;CL;V;25000;27698;692450;688923
8676;RENTA BONOS CHILE;$$;SWAP;$$;21/10/2019;$$;CL;V;2500000000;3.23;2526162;2531313
8684;SELECCION LATAM;USD;FORWARD;$$;06/03/2019;$$;CL;V;31000;650.5;20166;20205
8707;SELECCION GLOBAL;USD;FORWARD;$$;06/03/2019;$$;CL;V;894000;650.5;581547;582700
8773;ESTRATEGIA CONSERVAD;USD;FORWARD;$$;06/03/2019;$$;CL;V;2858000;649.2;1855414;1862816
8773;ESTRATEGIA CONSERVAD;USD;FORWARD;$$;06/03/2019;$$;CL;V;278000;650.5;180839;181198
8774;ESTRATEGIA EQUILIBRA;USD;FORWARD;$$;06/03/2019;$$;CL;V;404000;650.5;262802;263323
8774;ESTRATEGIA EQUILIBRA;USD;FORWARD;$$;06/03/2019;$$;CL;V;4336000;649.2;2814931;2826161
8775;ESTRATEGIA ACTIVA;USD;FORWARD;$$;06/03/2019;$$;CL;V;2365000;649.2;1535358;1541483
8775;ESTRATEGIA ACTIVA;USD;FORWARD;$$;06/03/2019;$$;CL;V;242000;650.5;157421;157733
8776;RENTA INTERNACIONAL;USD;FORWARD;$$;06/03/2019;$$;CL;V;146000;650.5;94973;95161
8915;USA;USD;FORWARD;$$;06/03/2019;$$;CL;V;220000;650.5;143110;143394
8916;EMERGENTES;USD;FORWARD;$$;06/03/2019;$$;CL;V;42000;650.5;27321;27375
8980;ASIA EMERGENTE;USD;FORWARD;$$;06/03/2019;$$;CL;V;44000;650.5;28622;28679
9003;RENTA ACTIVA;UF;FORWARD;$$;02/05/2019;$$;CL;V;5500;27698;152339;151563
9106;RENTA CORTO PLAZO;UF;FORWARD;$$;01/04/2019;$$;CL;V;99000;27615;2733885;2728133
9106;RENTA CORTO PLAZO;UF;FORWARD;$$;01/03/2019;$$;CL;V;31000;27573;854763;854264
9145;RENTA NOMINAL CHILE;UF;SWAP;$$;21/12/2020;$$;CL;V;15000;.88;415809;415814
9145;RENTA NOMINAL CHILE;UF;FORWARD;$$;03/06/2019;$$;CL;V;11000;27698;304678;303126
9145;RENTA NOMINAL CHILE;UF;FORWARD;$$;02/05/2019;$$;CL;V;30000;27698;830940;826707
9145;RENTA NOMINAL CHILE;UF;FORWARD;$$;19/11/2019;$$;CL;V;24000;28260;678240;661366
9473;MULTIACTIVO AGRESIVO;USD;FORWARD;$$;06/03/2019;$$;CL;V;58960000;650.5;38353480;38429538
9474;MULTIACTIVO MODERADO;USD;FORWARD;PROM;06/03/2019;$$;CL;V;563000;650.5;366232;366958
9474;MULTIACTIVO MODERADO;USD;FORWARD;PROM;06/03/2019;$$;CL;V;1149000;649.2;745931;748907
9564;MULTIACT CONSERVADOR;$$;SWAP;$$;17/10/2033;$$;CL;V;1500000000;4.17;15016100;15067197
9564;MULTIACT CONSERVADOR;$$;SWAP;$$;09/11/2033;$$;CL;V;5000000000;4.34;5117117;5033136
9564;MULTIACT CONSERVADOR;UF;SWAP;$$;29/11/2022;$$;CL;V;300000;.94;8330780;8316968
9564;MULTIACT CONSERVADOR;$$;SWAP;$$;27/05/2019;$$;CL;V;1500000000;2.98;15114408;15117773
9564;MULTIACT CONSERVADOR;$$;SWAP;$$;27/11/2019;$$;CL;V;1000000000;3.22;10076272;10090804
9564;MULTIACT CONSERVADOR;$$;SWAP;$$;21/10/2019;$$;CL;V;1000000000;3.23;1010465;1012525
9564;MULTIACT CONSERVADOR;UF;FORWARD;$$;19/11/2019;$$;CL;V;36000;28260;1017360;992048
