Run Fondo;Nombre Fondo;FFM_6040111;FFM_6040112;FFM_6040113;FFM_6040114;FFM_6040115;FFM_6040116;FFM_6040200;FFM_6040300;FFM_6040400;FFM_6040500;FFM_6040600
8676;RENTA BONOS CHILE;UF;FORWARD;$$;02/01/2019;$$;CL;V;30000;27424;822720;829586
8707;SELECCION GLOBAL;USD;FORWARD;$$;03/10/2018;$$;CL;V;1945000;667.1;1297510;1284517
8773;ESTRATEGIA CONSERVAD;USD;FORWARD;$$;03/10/2018;$$;CL;V;4034000;667.1;2691081;2664134
8774;ESTRATEGIA EQUILIBRA;USD;FORWARD;$$;03/10/2018;$$;CL;V;5676000;667.1;3786460;3747187
8775;ESTRATEGIA ACTIVA;USD;FORWARD;$$;03/10/2018;$$;CL;V;3600000;667.1;2401560;2377512
8776;RENTA INTERNACIONAL;USD;FORWARD;$$;03/10/2018;$$;CL;V;162000;667.1;108070;106988
8915;USA;USD;FORWARD;$$;03/10/2018;$$;CL;V;357000;667.1;238155;235685
9003;RENTA ACTIVA;UF;FORWARD;$$;02/01/2019;$$;CL;V;10000;27424;274240;273575
9084;RENTA LOCAL UF;UF;FORWARD;$$;02/01/2019;$$;CL;V;10000;27424;274240;273575
9106;RENTA CORTO PLAZO;UF;FORWARD;$$;08/01/2019;$$;CL;V;60000;27447;1646820;1641447
9106;RENTA CORTO PLAZO;UF;FORWARD;$$;01/10/2018;$$;CL;V;50000;27267;1363350;1367873
9473;MULTIACTIVO AGRESIVO;USD;FORWARD;$$;03/10/2018;$$;CL;V;90107000;667.1;60110380;59508465
9474;MULTIACTIVO MODERADO;USD;FORWARD;PROM;03/10/2018;$$;CL;V;8664000;667.1;5779754;5721879
8363;RENTA A PLAZO;UF;FORWARD;$$;09/05/2019;UF;CL;C;250000;27854;6963500;6983750
8363;RENTA A PLAZO;UF;FORWARD;$$;09/05/2019;UF;CL;C;250000;27700;6925000;6983062
8411;RENDIMIENTO NOMINAL;UF;FORWARD;$$;09/05/2019;UF;CL;C;50000;27689;1384450;1396603
8411;RENDIMIENTO NOMINAL;UF;FORWARD;$$;08/02/2019;UF;CL;V;85000;27586;2344810;2355014
8411;RENDIMIENTO NOMINAL;UF;FORWARD;$$;08/02/2019;UF;CL;C;85000;27589;2345065;2355016
8629;EUROAMERICA DOLAR;PROM;FORWARD;$$;09/10/2018;PROM;CL;C;1600000;667.28;1617;1600
8629;EUROAMERICA DOLAR;PROM;FORWARD;$$;23/10/2018;PROM;CL;C;1000000;660.84;1001;999
8629;EUROAMERICA DOLAR;PROM;FORWARD;$$;24/10/2018;PROM;CL;C;1000000;657.63;996;999
8629;EUROAMERICA DOLAR;PROM;FORWARD;$$;22/10/2018;PROM;CL;C;1000000;660.59;1000;999
8629;EUROAMERICA DOLAR;PROM;FORWARD;$$;10/10/2018;PROM;CL;C;1000000;663.21;1004;1000
8629;EUROAMERICA DOLAR;PROM;FORWARD;$$;11/10/2018;PROM;CL;C;800000;665.43;806;800
8629;EUROAMERICA DOLAR;PROM;FORWARD;$$;12/10/2018;PROM;CL;C;700000;668.1;708;700
8629;EUROAMERICA DOLAR;PROM;FORWARD;$$;12/10/2018;PROM;CL;C;700000;663.1;703;700
8629;EUROAMERICA DOLAR;PROM;FORWARD;$$;02/10/2018;PROM;CL;C;1000000;698.6;1058;1000
8629;EUROAMERICA DOLAR;PROM;FORWARD;$$;02/10/2018;PROM;CL;C;1000000;692.46;1049;1000
8629;EUROAMERICA DOLAR;PROM;FORWARD;$$;03/10/2018;PROM;CL;C;500000;686.32;520;500
8629;EUROAMERICA DOLAR;PROM;FORWARD;$$;03/10/2018;PROM;CL;C;1200000;683.08;1241;1200
8629;EUROAMERICA DOLAR;PROM;FORWARD;$$;01/10/2018;PROM;CL;C;1000000;685.32;1038;1000
8629;EUROAMERICA DOLAR;PROM;FORWARD;$$;16/10/2018;PROM;CL;C;1200000;693.09;1259;1200
8629;EUROAMERICA DOLAR;PROM;FORWARD;$$;10/10/2018;PROM;CL;C;1000000;673.84;1020;1000
8629;EUROAMERICA DOLAR;PROM;FORWARD;$$;05/10/2018;PROM;CL;C;1000000;654.87;992;1000
8694;PROYECCION A;PROM;FORWARD;$$;05/11/2018;PROM;CL;V;2000000;607.43;1214860;1319388
8694;PROYECCION A;PROM;FORWARD;$$;03/04/2019;PROM;CL;V;3100000;605.1;1875810;2043490
8694;PROYECCION A;PROM;FORWARD;$$;21/03/2019;PROM;CL;V;3000000;611.85;1835550;1977959
8694;PROYECCION A;PROM;FORWARD;$$;19/12/2018;PROM;CL;V;6000000;609.1;3654600;3957024
8694;PROYECCION A;PROM;FORWARD;$$;17/10/2018;PROM;CL;C;4000000;699.48;2797920;2640674
8695;PROYECCION C;PROM;FORWARD;$$;05/11/2018;PROM;CL;V;2000000;607.43;1214860;1319388
8695;PROYECCION C;PROM;FORWARD;$$;03/04/2019;PROM;CL;V;3100000;605.1;1875810;2043490
8695;PROYECCION C;PROM;FORWARD;$$;21/03/2019;PROM;CL;V;3000000;611.85;1835550;1977959
8695;PROYECCION C;PROM;FORWARD;$$;19/12/2018;PROM;CL;V;6300000;609.1;3837330;4154875
8695;PROYECCION C;PROM;FORWARD;$$;17/10/2018;PROM;CL;C;4000000;699.48;2797920;2640674
8696;PROYECCION E;PROM;FORWARD;$$;09/11/2018;PROM;CL;V;3000000;691.1;2073300;1979713
8696;PROYECCION E;UF;FORWARD;$$;09/05/2019;UF;CL;C;200000;27691;5538200;5586417
8696;PROYECCION E;UF;FORWARD;$$;09/05/2019;UF;CL;C;150000;27689;4153350;4189808
8805;GESTION CONSERVADORA;PROM;FORWARD;$$;19/12/2018;PROM;CL;V;310000;618.69;191794;204464
8805;GESTION CONSERVADORA;PROM;FORWARD;$$;19/12/2018;PROM;CL;V;1700000;605.41;1029197;1121119
8853;RENDIMIENTO UF;UF;FORWARD;$$;09/05/2019;UF;CL;C;75000;27854;2089050;2095125
9162;LATAM LOC CURR DEBT;PROM;FORWARD;$$;31/10/2018;PROM;CL;C;70000;687.14;73;70
9162;LATAM LOC CURR DEBT;PROM;FORWARD;COP;29/10/2018;PROM;CO;V;380000;678.43;390;380
8113;USA EQUITY;PROM;FORWARD;$$;30/11/2018;PROM;CL;C;10000000;662.85;6628500;6599990
8113;USA EQUITY;PROM;FORWARD;$$;30/11/2018;PROM;CL;V;10000000;681.65;6816500;6599990
8251;LIFETIME 2020;PROM;FORWARD;$$;26/10/2018;PROM;CL;V;100000;661.86;66186;66010
8251;LIFETIME 2020;PROM;FORWARD;$$;23/10/2018;PROM;CL;V;900000;672.9;605610;594095
8251;LIFETIME 2020;PROM;FORWARD;$$;11/10/2018;PROM;CL;V;1200000;691.65;829980;792179
8251;LIFETIME 2020;PROM;FORWARD;$$;05/10/2018;PROM;CL;V;2100000;690.75;1450575;1386363
8251;LIFETIME 2020;PROM;FORWARD;$$;26/10/2018;PROM;CL;V;1700000;664.9;1130330;1122163
8251;LIFETIME 2020;PROM;FORWARD;$$;30/11/2018;PROM;CL;V;300000;681.65;204495;198000
8252;LIFETIME 2030;PROM;FORWARD;$$;30/11/2018;PROM;CL;V;550000;681.65;374908;362999
8252;LIFETIME 2030;PROM;FORWARD;$$;26/10/2018;PROM;CL;V;3000000;664.9;1994700;1980288
8252;LIFETIME 2030;PROM;FORWARD;$$;05/10/2018;PROM;CL;V;2200000;690.75;1519650;1452381
8252;LIFETIME 2030;PROM;FORWARD;$$;11/10/2018;PROM;CL;V;1300000;691.65;899145;858194
8252;LIFETIME 2030;PROM;FORWARD;$$;23/10/2018;PROM;CL;V;900000;672.9;605610;594095
8252;LIFETIME 2030;PROM;FORWARD;$$;26/10/2018;PROM;CL;V;350000;661.86;231651;231034
8600;LIFETIME 2040;PROM;FORWARD;$$;26/10/2018;PROM;CL;V;700000;661.86;463302;462067
8600;LIFETIME 2040;PROM;FORWARD;$$;23/10/2018;PROM;CL;V;1200000;672.9;807480;792127
8600;LIFETIME 2040;PROM;FORWARD;$$;11/10/2018;PROM;CL;V;1600000;691.65;1106640;1056238
8600;LIFETIME 2040;PROM;FORWARD;$$;05/10/2018;PROM;CL;V;2500000;690.75;1726875;1650433
8600;LIFETIME 2040;PROM;FORWARD;$$;26/10/2018;PROM;CL;V;2600000;664.9;1728740;1716250
8600;LIFETIME 2040;PROM;FORWARD;$$;30/11/2018;PROM;CL;V;700000;681.65;477155;461999
8619;RENTA EMERGENTE;PROM;FORWARD;$$;30/11/2018;PROM;CL;V;5000000;681.65;3408250;3299995
8619;RENTA EMERGENTE;PROM;FORWARD;$$;30/11/2018;PROM;CL;C;5000000;662.85;3314250;3299995
8824;GESTION ESTRATEGICA;PROM;FORWARD;$$;30/11/2018;PROM;CL;V;500000;681.65;340825;330000
8824;GESTION ESTRATEGICA;PROM;FORWARD;$$;26/10/2018;PROM;CL;V;1350000;664.9;897615;891130
8824;GESTION ESTRATEGICA;PROM;FORWARD;$$;26/10/2018;PROM;CL;V;2500000;661.86;1654650;1650240
8824;GESTION ESTRATEGICA;PROM;FORWARD;$$;23/10/2018;PROM;CL;V;1600000;672.9;1076640;1056170
8824;GESTION ESTRATEGICA;PROM;FORWARD;$$;11/10/2018;PROM;CL;V;1500000;691.65;1037475;990224
8824;GESTION ESTRATEGICA;PROM;FORWARD;$$;05/10/2018;PROM;CL;V;900000;690.75;621675;594156
8825;GESTION ESTRATEGICA;PROM;FORWARD;$$;05/10/2018;PROM;CL;V;500000;690.75;345375;330087
8825;GESTION ESTRATEGICA;PROM;FORWARD;$$;11/10/2018;PROM;CL;V;900000;691.65;622485;594134
8825;GESTION ESTRATEGICA;PROM;FORWARD;$$;23/10/2018;PROM;CL;V;1400000;672.9;942060;924148
8825;GESTION ESTRATEGICA;PROM;FORWARD;$$;26/10/2018;PROM;CL;V;1050000;661.86;694953;693101
8825;GESTION ESTRATEGICA;PROM;FORWARD;$$;26/10/2018;PROM;CL;V;200000;664.9;132980;132019
8825;GESTION ESTRATEGICA;PROM;FORWARD;$$;30/11/2018;PROM;CL;V;300000;681.65;204495;198000
8826;GESTION ESTRATEGICA;PROM;FORWARD;$$;30/11/2018;PROM;CL;V;400000;681.65;272660;264000
8826;GESTION ESTRATEGICA;PROM;FORWARD;$$;26/10/2018;PROM;CL;V;500000;664.9;332450;330048
8826;GESTION ESTRATEGICA;PROM;FORWARD;$$;26/10/2018;PROM;CL;V;800000;661.86;529488;528077
8826;GESTION ESTRATEGICA;PROM;FORWARD;$$;23/10/2018;PROM;CL;V;3500000;672.9;2355150;2310371
8826;GESTION ESTRATEGICA;PROM;FORWARD;$$;11/10/2018;PROM;CL;V;2450000;691.65;1694543;1617365
8826;GESTION ESTRATEGICA;PROM;FORWARD;$$;05/10/2018;PROM;CL;V;900000;690.75;621675;594156
8827;GESTION ESTRATEGICA;PROM;FORWARD;$$;05/10/2018;PROM;CL;V;2300000;690.75;1588725;1518398
8827;GESTION ESTRATEGICA;PROM;FORWARD;$$;11/10/2018;PROM;CL;V;1500000;691.65;1037475;990224
8827;GESTION ESTRATEGICA;PROM;FORWARD;$$;23/10/2018;PROM;CL;V;2000000;672.9;1345800;1320212
8827;GESTION ESTRATEGICA;PROM;FORWARD;$$;26/10/2018;PROM;CL;V;350000;661.86;231651;231034
8827;GESTION ESTRATEGICA;PROM;FORWARD;$$;30/11/2018;PROM;CL;V;320000;681.65;218128;211200
8827;GESTION ESTRATEGICA;PROM;FORWARD;$$;26/10/2018;PROM;CL;V;200000;664.9;132980;132019
9450;GLOBAL INCOME;PROM;FORWARD;$$;30/11/2018;PROM;CL;V;50000;681.65;34083;33000
8032;BICE EST BALANCEADA;PROM;FORWARD;$$;08/10/2018;$$;CL;V;4500000;687.05;3091725;2970720
8032;BICE EST BALANCEADA;PROM;FORWARD;$$;08/10/2018;$$;CL;V;6750000;682.5;4606875;4456080
8032;BICE EST BALANCEADA;PROM;FORWARD;$$;05/10/2018;$$;CL;V;6750000;692.5;4674375;4456148
8032;BICE EST BALANCEADA;PROM;FORWARD;$$;07/11/2018;$$;CL;V;1000000;645.85;645850;660060
8032;BICE EST BALANCEADA;PROM;FORWARD;$$;10/10/2018;$$;CL;V;3700000;644;2382800;2442555
8032;BICE EST BALANCEADA;PROM;FORWARD;$$;21/12/2018;$$;CL;V;1400000;651.55;912170;923944
8032;BICE EST BALANCEADA;PROM;FORWARD;$$;10/12/2018;$$;CL;V;680000;633.52;430794;448786
8183;BICE NORTEAMERICA;PROM;FORWARD;$$;27/03/2019;$$;CL;V;2700000;666.88;1800576;1781784
8183;BICE NORTEAMERICA;PROM;FORWARD;$$;03/10/2018;$$;CL;V;3600000;690.95;2487420;2376648
8183;BICE NORTEAMERICA;PROM;FORWARD;$$;03/10/2018;$$;CL;V;3600000;690.95;2487420;2376648
8183;BICE NORTEAMERICA;PROM;FORWARD;$$;03/10/2018;$$;CL;V;3600000;690.95;2487420;2376648
8183;BICE NORTEAMERICA;PROM;FORWARD;$$;28/11/2018;$$;CL;V;2115000;690.3;1459985;1395900
