Run Fondo;Nombre Fondo;FFM_6020100;FFM_6020200;FFM_6020300;FFM_6020400;FFM_6020500;FFM_6020600;FFM_6020700;FFM_6020800;FFM_6020900;FFM_6021000;FFM_tir_6021111;FFM_par_6021111;FFM_rel_6021111;FFM_6021112;FFM_6021113;FFM_6021114;FFM_6021200;FFM_6021300;FFM_6021400;FFM_6021511;FFM_6021512;FFM_6021513
8684;SELECCION LATAM;PARBRIC LX EQUITY;PARVEST EQUITY BRAZIL I;BR;CFME;;1;NA;NA;1543.4;CU;;;60660.21;3;0;NA;93623;PROM;US;0;0;4.337
8684;SELECCION LATAM;PAM US EQUITY;PAMPA SPON ADR;US;ADR;;1;NA;NA;200;CA;;;23293.78;3;0;NA;4659;PROM;US;0;0;.216
8684;SELECCION LATAM;YPF US EQUITY;YPF SOCIEDAD ANONIMA;AR;ADR;;1;NA;NA;500;CA;;;8843.43;3;0;NA;4422;PROM;US;0;0;.205
8684;SELECCION LATAM;TS US EQUITY;TENARIS SA ADR;US;ADR;;1;NA;NA;400;CA;;;23697.53;3;0;NA;9479;PROM;US;0;0;.439
8684;SELECCION LATAM;SLQD US EQUITY;ISHARES 0-5 YEAR INVESTMENT GR;US;ETFB;;1;NA;NA;500;CA;;;32319.55;3;0;NA;16160;PROM;US;0;0;.749
8684;SELECCION LATAM;RASSICPO MM EQUITY;RASSINI SAB DE CV;MX;ACE;;1;NA;NA;34374;CA;;;2231.41;3;0;NA;76702;PROM;US;0;0;3.554
8684;SELECCION LATAM;Q* MM EQUITY;QUALITAS CONTROLADORA SAV;MX;ACE;;1;NA;NA;22714;CA;;;1611.3;3;0;NA;36599;PROM;US;0;0;1.696
8684;SELECCION LATAM;PINFRA* MM EQUITY;PROMOTORA Y OPERADORA DE INFRA;MX;ACE;;1;NA;NA;13153;CA;;;5821.81;3;0;NA;76574;PROM;US;0;0;3.548
8684;SELECCION LATAM;OMAB MM EQUITY;GRUPO AEROPORTUARIO DEL CENT;MX;ACE;;1;NA;NA;12994;CA;;;3398.13;3;0;NA;44155;PROM;US;0;0;2.046
8684;SELECCION LATAM;MELI US EQUITY;MERCADOLIBRE INC;US;ADR;;1;NA;NA;19;CA;;;194666.21;3;0;NA;3699;PROM;US;0;0;.171
8684;SELECCION LATAM;MELBECU ID EQUITY;BNY MELLON GLOBAL FUNDS PLC -B;IE;CFME;;1;NA;NA;260478.66;CU;;;633.43;3;0;NA;164995;PROM;US;0;0;7.644
8684;SELECCION LATAM;LQD US EQUITY;iShare Investment Grade Corpor;US;ETFB;;1;NA;NA;875;CA;;;74609.13;3;0;NA;65283;PROM;US;0;0;3.025
8684;SELECCION LATAM;ILF US EQUITY;ISHARES S&P LATIN AMERICA 40;BR;ETFA;;1;NA;NA;1750;CA;;;19269.3;3;0;NA;33721;PROM;US;0;0;1.562
8684;SELECCION LATAM;GXG US EQUITY;GLOBAL X/ INTERBO FTSE COL 20;CO;ETFA;;1;NA;NA;3800;CA;;;6831.19;3;0;NA;25959;PROM;US;0;0;1.203
8684;SELECCION LATAM;GRUMAB MM EQUITY;GRUMA S.A.B.;MX;ACE;;1;NA;NA;13934;CA;;;7958.39;3;0;NA;110892;PROM;US;0;0;5.138
8684;SELECCION LATAM;GGAL US EQUITY;Grupo financiero Galicia S.A.;US;ADR;;1;NA;NA;300;CA;;;21476.91;3;0;NA;6443;PROM;US;0;0;.298
8684;SELECCION LATAM;GFNORTEO MM EQUITY;GRUPO FINANCIERO BANORTE S.A.B;MX;ACE;;1;NA;NA;42754;CA;;;3831.55;3;0;NA;163814;PROM;US;0;0;7.589
8684;SELECCION LATAM;FLN US EQUITY;FIRST TRUST LATIN AMERICA;US;ETFA;;1;NA;NA;3200;CA;;;11532.93;3;0;NA;36905;PROM;US;0;0;1.71
8684;SELECCION LATAM;FLEFLCD LX EQUITY;JP Morgan funds - Latin Americ;LU;CFME;;1;NA;NA;3442.94;CU;;;17204.97;3;0;NA;59236;PROM;US;0;0;2.744
8684;SELECCION LATAM;FBZ US EQUITY;FIRST TRUST BRAZIL ALPHADEX FU;BR;ETFA;;1;NA;NA;1350;CA;;;7469.38;3;0;NA;10084;PROM;US;0;0;.467
8684;SELECCION LATAM;EWZS US EQUITY;ISHARES MSCI BRAZIL SMALL CA;US;ETFA;;1;NA;NA;21500;CA;;;8107.56;3;0;NA;174313;PROM;US;0;0;8.076
8684;SELECCION LATAM;EWZ US EQUITY;ISHARES MSCI BRASIL INDEX FUND;BR;ETFA;;1;NA;NA;8900;CA;;;20871.28;3;0;NA;185754;PROM;US;0;0;8.606
8684;SELECCION LATAM;EPU US EQUITY;ISHARES MSCI ALL PERU CAPPED;PE;ETFA;;1;NA;NA;2750;CA;;;25559.99;3;0;NA;70290;PROM;US;0;0;3.256
8684;SELECCION LATAM;ECH US EQUITY;ISHARE MSCI CHILE INVESTABLE;US;ETFA;;1;NA;NA;266;CA;;;29981.71;3;0;NA;7975;PROM;US;0;0;.369
8684;SELECCION LATAM;BRF US EQUITY;MARKET VECTORS BRAZIL SM-CAP;US;ETFA;;1;NA;NA;2000;CA;;;11669.68;3;0;NA;23339;PROM;US;0;0;1.081
8684;SELECCION LATAM;BOVA11 BZ EQUITY;ISHARES IBOVESPA;BR;ETFA;;1;NA;NA;14520;CA;;;11811.15;3;0;NA;171498;PROM;US;0;0;7.945
8684;SELECCION LATAM;BMA US EQUITY;BANCO MACRO SA;AR;ADR;;1;NA;NA;117;CA;;;38284.64;3;0;NA;4479;PROM;US;0;0;.208
8684;SELECCION LATAM;ALAMEI2 LX EQUITY;ABERDEEN GLOBAL - LATIN AMERIC;LU;CFME;;1;NA;NA;55.12;CU;;;2600909.3;3;0;NA;143362;PROM;US;0;0;6.642
8707;SELECCION GLOBAL;YPF US EQUITY;YPF SOCIEDAD ANONIMA;AR;ADR;;1;NA;NA;1500;CA;;;8843.43;3;0;NA;13265;PROM;US;0;0;.029
8707;SELECCION GLOBAL;XLY US EQUITY;Consumer Discretionary Select;US;ETFA;;1;NA;NA;22700;CA;;;71177.25;3;0;NA;1615724;PROM;US;0;0;3.53
8707;SELECCION GLOBAL;XLV US EQUITY;HEALTH CARE SELECT SECTOR;US;ETFA;;1;NA;NA;25600;CA;;;54349.99;3;0;NA;1391360;PROM;US;0;0;3.04
